Part II Offense,111,112,113,114,Totals
Manslaughter,0,0,0,0,0
Kidnapping,1,8,2,2,13
Sexual Assault (except forcible rape),13,5,1,6,25
Simple Assault,116,96,28,106,346
Intimidation,41,36,10,51,138
Counterfeit/Forgery/Fraud,58,31,1,26,116
Identity Theft,20,2,1,1,24
Embezzlement,2,3,0,1,6
"Stolen Property Offenses (receiving, selling, etc.)",1,0,0,0,1
Property Destruction/Vandalism,8,13,7,14,42
Drug Offenses,65,30,14,60,169
Bribery,0,0,0,0,0
Weapons Violations,15,6,59,8,88
Totals,340,230,123,275,968
