Juvenile Arrests,111,112,113,114,Totals
Homicide,0,0,0,0,0
Rape,0,0,0,0,0
Robbery,0,0,0,0,0
Aggravated Assault,1,1,0,0,2
Burglary,0,0,0,0,0
Larceny,4,0,0,1,5
Auto Theft,1,0,0,0,1
Simple Assault,0,2,0,3,5
Drug Offenses,6,5,9,12,32
Weapon Law Violations,1,0,0,4,5
Sex Offenses (except forcible rape),1,0,0,0,1
Disorderly Conduct,1,0,0,0,1
Curfew/Loitering/Vagrancy Violations,4,0,1,2,7
Liquor Offenses/Drunkeness/DUI,4,4,1,4,13
Runaway,12,12,3,23,50
All Other Offenses,54,4,4,6,68
Totals,89,28,18,55,190
