Category,Disposition,,,,Total
,Sustained,Not Sustained,Exonerated,Unfounded,
Accidental ECD Discharge,0,0,3,0,3
Animal Cruelty/AC,1,0,0,0,1
Damage Property,0,0,1,0,1
Destroy Evidence,0,0,1,0,1
Excessive Use of Force,0,1,0,2,3
Fail to Appear in Court,0,0,8,0,8
Fail to Notify,0,0,1,0,1
Fail to Report,1,1,6,1,9
Harassment,1,0,0,1,2
Improper Arrest,0,0,1,0,1
Improper Investigation,1,0,6,0,7
Improper Release of Information,0,0,1,0,1
Improper Stop,0,1,1,0,2
Informant Fund Accounting,0,0,3,0,3
Late,0,0,10,0,10
Late Case File,0,0,2,0,2
Loss of Equipment,0,0,1,0,1
Lying,0,1,1,0,2
Misconduct/Inappropriate Behavior,0,1,1,0,2
Not Following Instructions,0,0,2,0,2
Officer Involved Shooting,0,0,0,2,2
Officer Conduct Inquiry,1,0,0,0,1
Property/Evidence,0,1,25,0,26
Rude/Unprofessional Conduct,2,5,2,1,10
Unsatisfactory Work Performance,0,0,1,0,1
Vehicle Policy,1,0,3,0,4
Violation of M4 Rifle Policy,0,0,1,0,1
Violation of Pursuit SOP,0,0,2,1,3
Total,8,11,83,8,110
