Complaints - Criminal,Total
Alcohol Related,0
Arson,0
Assault on Family,0
Assault on Non Family,4
Auto Theft,0
Bad Check,0
Bomb Device,0
Bomb Threat,0
Bribery,0
Burglary of Business,1
Burglary of Residence,0
Burglary Other,0
Child Abuse/Neglect,0
Counterfeiting,0
Destruction of Property,4
Drugs,1
Extortion/Blackmail,0
False Police Report,0
Forgery,0
Fraud,0
Gambling,0
Harassment,0
Homicide,0
Juvenile Related,0
Kidnap/Abduction,0
Larceny,4
Littering,0
Noise Complaints,3
Ordinance Violations,0
Paper Service (Arrests),18
Protective Order Violations,0
Protective Orders Served,0
Prowlers,0
Pursuits,0
Robbery,0
Sexual Assaults,0
Sexual Offenses,0
Threatening,0
Town Tax Violation,0
Trespassing,0
Weapons Violations,0
Total Criminal,35
