Arrest Type,Total
Abduction,0
Alcohol - All Other,0
Alcohol - Unlawful Poss.,0
Arson,0
Assault/Battery - Police,0
Assault/Battery - Non Fam.,0
Assault/Battery - Family,1
Aggravated Assault,0
Auto Theft,0
Breaking and Entering,0
Contempt,0
DIP,2
DUI,0
Destruction of Property,0
Disorderly Conduct,0
Drugs,7
Embezzlement,0
False Pretenses,0
Forgery,0
Fraud,0
Habitual Offender,0
Homicide,0
Larceny,0
Larceny by Check,0
Miscellaneous,0
Noise Violations,0
Obstruction of Justice,0
Paper Service,0
Possess Stolen Property,0
Possess Tobacco,0
Protective Order Violation,0
Robbery,0
Runaway,0
Sexual Assault,0
Sexual Offense (Non Force),0
Shoplifting,1
Stalking,0
Threats to Bomb,0
Threats by Mail/Telephone,0
Trespassing,0
Weapons Violations,0
Total Arrests,11
