Offenses,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Bad Checks,126,181,232,269,269,273,254,1260,1325,1093,844,540,255,170,96,88,7275
Curfew/Loitering/Vagrancy,15,14,10,9,0,2,0,10,10,8,12,17,30,34,2,0,173
Disorderly Conduct,328,267,324,397,296,245,226,798,561,522,486,337,142,87,44,41,5101
Driving Under the Influence,456,751,884,1135,1188,1190,1005,3772,3144,2965,3004,1997,1228,686,327,327,24059
Drunkenness,695,749,860,1270,1121,947,784,3083,2889,3357,3921,2732,1456,769,278,308,25219
"Family Offenses, Nonviolent",18,31,34,33,42,46,34,204,192,190,126,89,44,14,2,4,1103
Liquor Laws,1357,1336,1185,267,192,151,120,515,419,485,505,349,261,153,84,63,7442
Peeping Tom,5,4,3,6,4,2,3,18,25,9,12,8,3,1,2,2,107
Runaway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trespass to Real Property,571,502,444,351,336,275,234,828,699,740,743,523,302,146,62,91,6847
Conspiracy to Commit Group A Offense,7,3,7,6,4,50,6,15,46,34,6,3,7,1,2,1,198
Conspiracy to Commit Group B Offense,0,0,0,1,0,3,0,1,4,3,1,0,0,0,0,0,13
All Other Offenses,2884,3700,3929,4114,3798,3507,2972,12201,10546,10363,8698,5366,2855,1431,706,827,77897
Total Group B Offenses,6462,7538,7912,7858,7250,6691,5638,22705,19860,19769,18358,11961,6583,3492,1605,1752,155434
