Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10,M,,,,,,
,F,,,,,,
,U,,,,,,
10--14,M,,1,,, ,1
,F,,,,,,
,U,,,,,,
15-19,M,20,45,,,4,69
,F,2,3,,,,5
,U,,,,,,
20-24,M,24,93,,1,,118
,F,4,4,,,,8
,U,,,,,,
25-29,M,15,35,,,,50
,F,2,3,,,,5
,U,,,,,,
30-34,M,8,18,,1,1,28
,F,3,2,,,,5
,U,,,,,,
35-39,M,9,7,,,,16
,F,4,4,,,,8
,U,,,,,,
40-44,M,9,8,,,,17
,F,3,1,,,,4
,U,,,,,,
45-49,M,6,6,,,,12
,F,1,3,,,,4
,U,,,,,,
50-54,M,6,8,,,,14
,F,,,,,,
,U,,,,,,
55-59,M,4,,,,,4
,F,1,,,,,1
,U,,,,,,
60-64,M,2,1,,,,3
,F,,,,,,
,U,,,,,,
65 & Over,M,4,3,,,,7
,F,,,,,,
,U,,,,,,
Unknown,M,,23,,,4,27
,F,,,,,,
,U,,,,,61,61
TOTAL,M,107,248,,2,9,366
,F,20,20,,,,40
,U,,,,,61,61
