Offenses,Persons Arrested,,Percent Crime Distribution by Gender,
,Male,Female,Male,Female
Murder/Nonnegligent Manslaughter  ,233,34,0.28,0.12
Negligent Manslaughter,9,2,0.01,0.01
Kidnapping,627,76,0.75,0.28
Forcible Rape  ,416,2,0.49,0.01
Forcible Sodomy ,218,14,0.26,0.05
Sexual Assault with an Object  ,91,2,0.11,0.01
Forcible Fondling,594,15,0.71,0.05
Robbery  ,1294,107,1.54,0.39
Aggravated Assault  ,3393,1089,4.03,3.96
Simple Assault  ,24000,8797,28.54,32.01
Intimidation,1173,339,1.39,1.23
Arson ,270,57,0.32,0.21
Extortion/Blackmail ,33,9,0.04,0.03
Burglary/Breaking & Entering,3413,360,4.06,1.31
Pocket-picking,148,69,0.18,0.25
Purse-snatching,26,5,0.03,0.02
Shoplifting,5637,4354,6.7,15.84
Theft from Building  ,488,175,0.58,0.64
Theft from Coin-Operated Machine or Device,70,15,0.08,0.05
Theft from Motor Vehicle,465,45,0.55,0.16
Theft of Motor Vehicle Parts or Accessories,146,8,0.17,0.03
All Other Larceny,6523,2842,7.76,10.34
Motor Vehicle  Theft,1205,194,1.43,0.71
Counterfeiting/Forgery,1567,1137,1.86,4.14
False Pretenses/Swindle/Confidence Game,1185,660,1.41,2.4
Credit Card/Automatic Teller Machine Fraud,202,164,0.24,0.6
Impersonation,282,78,0.34,0.28
Welfare Fraud,20,58,0.02,0.21
Wire Fraud  ,1,1,,
Embezzlement  ,629,779,0.75,2.83
Stolen Property Offenses,817,151,0.97,0.55
Destruction.Damage/Vandalism of Property,3369,719,4.01,2.62
Drug/Narcotic Violations,21604,4418,25.69,16.08
Drug Equipment Violations  ,199,63,0.24,0.23
Incest ,6,1,0.01,
Statutory Rape  ,107,5,0.13,0.02
Pornography/Obscene Material  ,35,5,0.04,0.02
Betting/Wagering,58,1,0.07,
Operating/Promoting/Assisting Gambling,,2,,0.01
Gambling Equipment Violations,13,1,0.02,
Sports Tampering,1,,,
Prostitution,122,334,0.15,1.22
Assisting or Promoting Prostitution ,94,19,0.11,0.07
Bribery,12,5,0.01,0.02
Weapon Law Violations,3308,268,3.93,0.98
TOTAL,84103,27479,100,100
