,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Murder/Nonnegligent Manslaughter,13,19,21,21,20,20,12,33,24,24,14,10,8,3,2,5,249
Negligent Manslaughter,1,1,1,0,0,0,0,2,0,2,0,0,0,2,0,0,9
Kidnaping/Abduction,37,27,46,30,39,31,28,118,101,79,60,44,12,12,2,3,669
Forcible Rape,19,23,20,13,23,18,18,44,48,63,25,13,16,6,3,2,354
Forcible Sodomy,10,6,3,8,3,3,4,24,17,28,14,8,9,2,4,5,148
Sexual Assault with an Object,1,5,2,0,1,4,1,11,12,10,8,8,3,3,0,3,72
Forcible Fondling,19,14,17,11,9,11,9,56,74,62,50,42,32,20,24,15,465
Robbery,145,135,87,85,83,68,48,170,105,103,74,39,10,5,1,0,1158
Aggravated Assault,250,208,212,215,175,195,166,616,485,495,397,266,130,63,40,48,3961
Simple Assault,1053,1069,1107,1234,1189,1207,1032,4574,4124,4123,3494,2072,1037,550,274,255,28394
Intimidation,45,60,49,44,42,52,38,199,166,212,150,98,54,36,17,19,1281
Arson,20,11,12,11,2,8,5,24,14,9,21,11,7,3,3,2,163
Extortion/Blackmail,3,1,0,2,2,0,0,3,4,3,5,4,3,0,0,0,30
Burglary/B & E,412,285,198,156,148,108,93,354,272,230,224,108,37,9,5,6,2645
Pocket Picking,24,13,16,12,7,6,3,20,18,15,14,10,6,5,0,1,170
Purse Snatching,1,4,1,2,2,2,2,2,4,3,2,1,0,0,0,0,26
Shoplifting,752,559,434,374,346,304,266,951,891,928,847,585,317,164,70,76,7864
Theft from Building,33,41,24,25,16,29,15,67,61,62,45,42,8,1,2,1,472
Theft from Coin-Operated Machine or Device,6,15,7,1,6,3,1,8,6,2,24,3,0,0,0,0,82
Theft from Motor Vehicle,45,33,39,21,17,14,13,51,46,35,23,10,6,4,3,0,360
Theft of Motor Vehicle Parts,18,21,14,9,14,7,12,15,5,6,9,5,2,0,0,0,137
All Other Larceny,714,551,503,371,386,308,247,1021,889,939,755,444,215,104,59,30,7536
Motor Vehicle Theft,132,72,65,56,56,44,37,126,136,114,87,49,15,10,2,5,1006
Counterfeiting/Forgery,93,185,155,135,148,117,94,485,411,310,248,155,53,11,5,15,2620
False Pretenses/Swindle/Confidence Game,47,55,62,107,65,81,62,300,273,279,196,134,73,45,12,14,1805
Credit Card/Automatic Teller Machine Fraud,13,20,15,27,25,17,11,70,50,38,32,11,8,1,3,1,342
Impersonation,27,48,46,7,18,15,9,58,39,23,21,21,5,4,1,1,343
Welfare Fraud,0,0,1,0,3,8,17,15,13,6,9,4,0,0,2,78,
Wire Fraud,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Embezzlement,82,83,68,77,72,68,51,248,181,144,134,63,56,12,6,3,1348
Stolen Property Offenses,91,83,71,60,41,41,28,107,82,65,78,41,14,3,2,6,813
Destruct/Damage/Vandalism,299,246,225,219,161,148,106,393,307,238,224,146,46,34,13,20,2825
Drug/Narcotic Violations,1988,2090,1811,1561,1432,1189,1065,3642,2476,2208,1884,1153,519,159,66,49,23292
Drug Equipment Violations,17,9,6,12,10,11,8,25,43,29,23,20,10,7,2,0,232
Incest,0,0,0,0,0,0,0,1,0,2,1,0,1,0,1,0,6
Statutory Rape,18,18,10,8,4,6,7,14,7,5,4,1,0,1,0,0,103
Porno./Obscene Material,1,7,1,1,0,1,0,4,3,6,4,0,0,3,5,0,36
Betting/Wagering,2,2,3,1,1,3,1,8,12,11,9,1,0,2,1,0,57
Operating/Promoting/Assisting Gambling,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Gambling Equip. Violations,1,1,0,1,1,1,0,2,0,4,1,0,0,0,0,0,12
Sports Tampering,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Prostitution,6,5,1,10,11,18,12,59,58,112,86,47,16,5,4,5,455
Assisting/Promoting Prostitution,1,4,3,1,2,3,4,12,27,13,13,12,63,2,6,112,
Bribery,0,1,0,2,1,1,0,0,2,2,0,3,0,0,0,2,14
Weapon Law Violations,216,228,179,175,178,150,133,426,269,248,246,181,121,83,54,44,2931
Total Group A Arrests,6655,6258,5535,5106,4756,4315,3649,14360,11757,11298,9554,5871,2859,1375,688,644,94680
