Age,Victim,,Offender,,
,Male,Female,Male,Female,Unknown
Under 10,0,47,2,0,1
10--12,4,131,21,1,0
13--14,2,211,59,0,0
15,0,131,38,0,0
16,3,116,41,1,0
17,0,81,66,0,0
18,0,77,79,0,0
19,0,79,84,0,0
20,0,81,85,0,0
21,0,61,69,0,0
22,0,40,83,0,2
23,0,42,69,2,0
24,0,49,50,0,0
25-29,0,143,181,1,0
30-34,1,105,166,2,0
35-39,0,104,148,0,0
40-44,0,83,126,0,0
45-49,0,42,69,0,0
50-54,0,30,45,0,0
55-59,0,8,20,0,0
60-64,0,4,8,0,0
65 & Over,0,17,9,0,0
Unknown,1,22,171,0,90
TOTAL,11,1704,1689,7,93
White,8,1118,856,4,0
Black,3,543,769,3,0
Am. Ind. or Alaskan Native,0,2,1,0,0
Asian or Pacific Isl.,0,17,12,0,0
Unknown,0,24,51,0,93
TOTAL,11,1704,1689,7,93
