Location,Murder/Nonnegligent Manslaughter,Aggravated Assault,Forcible Rape,Forcible Sodomy,Sexual Assault with an Object,Forcible Fondling,Robbery
Air/Bus/Train Terminal,0,14,1,0,2,10,8
Bank/Savings & Loan,0,5,0,0,0,0,195
Bar/Night Club,2,192,10,0,1,7,24
Church/Synagogue/Temple,1,10,5,0,2,10,8
Commercial/Office Building,4,58,3,1,3,26,91
Construction Site,0,10,0,1,0,0,2
Convenience Store,7,110,4,0,1,12,480
Department/Discount Store,1,38,0,1,3,26,105
Drug Store/Dr Office/Hospital,0,47,13,6,5,15,47
Field/Woods,9,93,63,22,6,28,86
Government/Public Building,0,62,15,10,3,21,23
Grocery/Supermarket,2,26,1,0,1,4,93
Highway/Road/Alley,98,2298,105,29,13,91,2089
Hotel/Motel/Etc.,8,120,69,10,4,34,207
Jail/Penitentiary,1,80,2,9,5,9,2
Lake/Waterway,2,5,2,0,0,3,5
Liquor Store,0,0,0,0,0,1,1
Parking Lot/Garage,24,854,54,14,8,40,933
Rental/Storage Facility,0,4,1,3,0,4,4
Residence/Home,208,4929,1224,474,209,1519,1240
Restaurant,1,126,3,4,3,31,262
School/College,3,267,29,20,20,160,73
Service/Gas Station,0,45,0,0,1,2,178
Specialty Store,2,42,3,4,1,26,179
Other/Unknown,12,394,86,46,21,162,241
TOTAL,385,9829,1693,654,312,2241,6576
