Complaint type,Sustained,Not Sustained ,Exonerated,Unfounded,Withdrawn
Accidental ECD discharge,6,,1,,
Animal cruelty,1,,,,
Drive suspended,1,1,,,
EPO procedures,1,,,,
Excessive force,,,,2,
Fail to appear in court,3,,,,
Fail to complete documents,2,,,,
Fail to notify,3,,,,
Fail to provide service,5,,2,,
Fail to report,8,,,,
Fail to supervise,1,,1,,
Harassment,,,1,,
Improper arrest,1,,,,
Improper release of info.,1,,,,
Improper search,2,2,1,,
IT/Computer violation,,,,1,
Late,2,,,,
Late case file,6,,,,
Lying,2,,,,
Not follow/Disobey orders,1,,,,
Prisoner escape,1,,,,
Property/Evidence violation,6,,,,
Rude/Unprofessional,10,4,2,5,
In-car camera violation,1,,,,
Vehicle policy violation,1,,,,
M4 Rifle policy violation,1,,,1,
Pursuit policy violation,4,2,,,
Total,71,10,9,13,15
