Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Clifton Forge,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,1,0,10,0,1,0,2,0,0,0,5,0,1,0,0,0,3,1,8,2,29,0,1,0,7,0,0,0,7,0,0,0,20,1,1,0,0,0,0,0,3,0,9,0,0,0,2,0,1,0,119,4
Manslaughter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
Kidnaping,0,0,0,0,4,0,0,0,4,1,6,0,0,0,1,0,0,0,2,0,3,1,1,0,0,0,5,0,1,0,1,0,13,1,5,1,3,0,0,0,13,0,1,0,0,0,1,0,40,2,42,1,2,0,2,0,2,0,46,1,0,0,21,0,1,0,0,0,2,0,17,0,43,5,0,0,2,0,0,0,284,13
"Sex Offenses, Forcible",0,0,3,2,5,0,4,0,8,0,7,9,0,0,6,1,2,0,0,0,5,1,2,0,0,0,4,0,4,0,1,0,28,2,7,1,12,0,2,0,29,2,4,0,5,0,4,4,45,10,47,10,1,0,10,1,4,1,18,1,8,0,34,14,5,4,2,1,11,3,20,1,61,33,8,2,2,1,5,0,423,104
Robbery,6,0,4,0,5,0,1,0,8,12,5,5,1,0,6,0,0,0,2,0,3,1,0,0,0,0,7,1,5,1,1,0,68,7,6,0,8,0,0,0,11,4,3,0,0,0,1,0,104,34,40,17,0,0,19,7,0,0,48,7,0,0,99,24,14,1,1,1,3,1,16,0,74,38,0,2,7,0,8,4,584,167
Aggravated Assault,16,0,13,2,26,0,2,0,44,3,52,18,6,1,13,4,3,1,4,0,31,9,5,0,0,0,6,0,19,3,14,5,67,9,22,3,34,5,2,0,39,2,24,5,8,0,30,1,255,39,68,13,7,4,81,14,3,0,138,14,0,0,302,51,69,13,9,0,22,6,53,6,109,36,20,4,31,4,40,4,1687,279
Simple Assault/Intimidation,190,0,104,12,200,8,10,0,385,23,209,83,35,4,179,50,35,4,156,4,97,27,45,0,0,0,73,1,118,5,63,4,629,28,124,7,317,1,12,1,724,30,108,9,56,14,184,23,1411,222,295,24,27,4,491,24,36,7,1264,32,0,0,983,289,342,44,111,21,330,27,546,13,2470,584,85,25,77,9,202,42,12723,1705
Arson,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,14,0,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,2,0,0,2,0,0,0,1,0,0,0,1,13,0,0,0,0,1,2,0,1,1,0,0,0,15,13,0,4,0,2,4,0,0,1,14,9,0,0,0,0,0,6,49,74
Extortion/Blackmail,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,7
Burglary,9,0,4,0,9,0,2,0,19,7,16,13,3,0,16,6,1,6,2,0,6,3,2,0,0,1,2,0,12,0,3,1,49,29,18,3,26,5,2,0,29,6,6,1,5,1,14,13,156,81,84,17,0,4,31,7,3,2,69,2,0,0,141,37,19,16,20,7,9,1,39,1,137,91,5,4,1,3,19,6,988,374
Larceny,139,0,22,14,122,5,0,0,87,13,177,109,6,0,302,248,19,12,72,7,56,48,15,0,0,1,25,2,194,39,59,5,433,103,65,11,86,5,11,0,323,126,49,5,27,4,72,11,491,196,683,208,58,10,116,18,7,76,323,21,0,0,448,55,210,30,55,49,91,61,168,3,968,540,34,15,24,10,146,106,6183,2166
Motor Vehicle Theft,15,0,2,1,5,1,0,0,2,0,8,24,0,0,2,0,3,0,1,0,9,12,1,0,0,0,4,0,0,0,1,4,18,4,11,0,2,0,2,0,0,0,6,1,5,4,4,6,68,57,10,0,2,0,18,13,1,0,2,1,1,0,137,62,10,0,9,1,5,8,11,6,40,19,4,2,6,1,0,0,425,227
Counterfeiting/Forgery,0,0,5,0,49,0,0,0,41,1,26,0,1,0,34,0,12,0,2,0,20,1,1,0,0,0,4,0,17,0,14,1,51,2,47,0,6,0,2,0,32,7,12,0,3,0,39,0,80,3,49,0,5,0,84,0,0,0,43,1,0,0,52,2,11,0,93,5,57,0,19,0,115,8,6,0,5,0,9,1,1046,32
Fraud,7,1,8,0,30,1,0,0,39,1,9,0,0,0,13,5,0,0,1,0,5,1,2,0,0,0,0,0,17,2,3,0,45,1,32,0,21,0,4,0,39,1,12,0,6,1,18,0,100,5,41,1,1,0,0,0,7,0,14,0,0,0,27,0,37,0,28,0,81,3,15,0,90,9,28,0,4,1,4,0,788,33
Embezzlement,8,0,1,0,2,0,0,0,17,0,10,0,0,0,37,6,0,0,3,0,1,0,3,0,0,0,2,0,17,1,0,0,42,3,9,0,4,0,0,0,13,0,8,0,4,0,10,0,52,7,30,1,1,0,12,0,2,0,9,0,0,0,9,0,17,1,22,2,8,0,6,0,82,6,6,0,0,0,7,3,454,30
Stolen Property,6,0,1,0,5,1,0,0,13,2,7,3,0,0,2,1,0,0,0,0,2,1,1,0,0,0,1,0,5,0,0,1,22,9,14,2,3,2,1,0,6,0,2,0,2,0,1,0,64,39,20,8,3,0,21,9,3,1,16,0,0,0,5,1,0,0,2,0,1,0,15,0,27,8,0,1,0,2,2,2,273,93
Vandalism,22,0,5,3,17,3,4,0,61,3,7,17,4,2,18,32,4,2,13,2,10,12,4,0,0,0,6,0,12,4,9,13,14,3,20,4,33,2,5,1,53,4,11,1,1,4,13,4,136,70,27,28,8,1,49,11,4,2,63,7,0,0,48,44,19,5,16,9,20,13,37,3,167,151,10,3,2,1,12,8,964,472
