Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10,M,,,,,,
,F,,,,,,
,U,,,,,,
10--14,M,1,,,,,1
,F,,,,,,
,U,,,,,,
15-19,M,14,73,,1,,88
,F,5,2,,,,7
,U,,,,,2,2
20-24,M,15,59,,2,1,77
,F,1,4,,,,5
,U,,,,,,
25-29,M,11,28,,,,39
,F,6,1,,,,7
,U,,,,,,
30-34,M,10,13,,,,23
,F,5,3,,,,8
,U,,,,,,
35-39,M,12,11,,,,23
,F,3,1,,,,4
,U,,,,,,
40-44,M,9,12,,,,21
,F,4,1,,,,5
,U,,,,,,
45-49,M,5,6,,,,11
,F,2,4,,,,6
,U,,,,,,
50-54,M,9,4,,,,13
,F,2,,,,,2
,U,,,,,1,1
55-59,M,2,1,,,1,4
,F,1,1,,,,2
,U,,,,,,
60-64,M,1,1,,,,2
,F,,,,,,
,U,,,,,,
65 & Over,M,9,2,,,,11
,F,1,1,,,,2
,U,,,,,,
Unknown,M,2,25,,,6,33
,F,,,,,1,1
,U,,1,,,69,70
TOTAL,M,100,235,,3,8,346
,F,30,18,,,1,49
,U,,1,,,72,73
