Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10,M,4,4,,,,8
,F,2,3,,,,5
,U,,,,,,
10--14,M,1,2,,,,3
,F,1,,,,,1
,U,,,,,,
15-19,M,4,24,,,2,30
,F,3,3,,,,6
,U,,,,,,
20-24,M,10,42,,1,,53
,F,5,5,,,,10
,U,,,,,,
25-29,M,6,35,,1,,42
,F,5,4,,,1,10
,U,,,,,,
30-34,M,7,16,,1,,24
,F,10,5,,,,15
,U,,,,,,
35-39,M,11,16,,,,27
,F,7,3,,,,10
,U,,,,,,
40-44,M,14,8,,,1,23
,F,5,3,,,,8
,U,,,,,,
45-49,M,7,10,,1,,18
,F,2,6,,,,8
,U,,,,,,
50-54,M,3,5,,,,8
,F,4,,,,,4
,U,,,,,,
55-59,M,4,2,,,,6
,F,5,,,,,5
,U,,,,,,
60-64,M,4,4,,,,8
,F,3,,,,,3
,U,,,,,,
65 & Over,M,6,3,,,1,10
,F,11,1,,,,12
,U,,,,,,
Unknown,M,4,4,,,5,13
,F,,5,,,,5
,U,,,,,1,1
TOTAL,M,85,175,,4,9,273
,F,63,38,,,1,102
,U,,,,,1,1
