Name: “Table 1 of 1 on page 9 of 13”,Name: “Table 1 of 1 on page 9 of 13”,Name: “Table 1 of 1 on page 9 of 13”,Name: “Table 1 of 1 on page 9 of 13”
Table: 9,Table: 9,Table: 9,Table: 9
,,,
,DISORDER IN THE COURT 2005-2011 INCIDENTS,DISORDER IN THE COURT 2005-2011 INCIDENTS,
"November 11, 2009","An on-bond defendant takes out a knife at the Cleveland County Courthouse in Norman, Oklahoma and stabs himself","An on-bond defendant takes out a knife at the Cleveland County Courthouse in Norman, Oklahoma and stabs himself","An on-bond defendant takes out a knife at the Cleveland County Courthouse in Norman, Oklahoma and stabs himself"
,in the throat.,A responding deputies hands are severely cut while attempting to subdue the defendant.,
"November 7, 2009",An improvised incendiary device is hurled through a window into a courtroom at the Dorchester District Court in,An improvised incendiary device is hurled through a window into a courtroom at the Dorchester District Court in,
,"Dorchester, Massachusetts.","Dorchester, Massachusetts.",
"November 6, 2009","A man intentionally drives his car into the main lobby of the Burke County Courthouse in Morgantown, North","A man intentionally drives his car into the main lobby of the Burke County Courthouse in Morgantown, North",
,Carolina.,The man had an upcoming court date on drunk driving charges.,
"November 5, 2009",A suspect is arrested and charged with putting together bombing materials in a plot to blow up the Pike County,A suspect is arrested and charged with putting together bombing materials in a plot to blow up the Pike County,
,"Courthouse in Petersburg, Indiana.","Courthouse in Petersburg, Indiana.",
"October 29, 2009",After a hearing on their divorce case a husband is stabbed by his wife’s boyfriend outside the Arapahoe County District,After a hearing on their divorce case a husband is stabbed by his wife’s boyfriend outside the Arapahoe County District,After a hearing on their divorce case a husband is stabbed by his wife’s boyfriend outside the Arapahoe County District
,"Courthouse in Littletown, Colorado.","Courthouse in Littletown, Colorado.",
"October 28, 2009",A man refusing to produce identification assaults a court security officer at the United States Courthouse in,A man refusing to produce identification assaults a court security officer at the United States Courthouse in,
,"Philadelphia, Pennsylvania.","Philadelphia, Pennsylvania.",
"September 23, 2009","A suspect attempts to detonate a Truck Bomb at the United States Courthouse in Springfield, Illinois.","A suspect attempts to detonate a Truck Bomb at the United States Courthouse in Springfield, Illinois.",The FBI prevents
,"this attack, via undercover operations, using an inert improvised explosive device that couldn’t be detonated.","this attack, via undercover operations, using an inert improvised explosive device that couldn’t be detonated.",
"August 20, 2009",A woman demanding to see the district attorney is arrested for having a firearm in the Cleveland County Courthouse in,A woman demanding to see the district attorney is arrested for having a firearm in the Cleveland County Courthouse in,A woman demanding to see the district attorney is arrested for having a firearm in the Cleveland County Courthouse in
,"Norman, Oklahoma.","Norman, Oklahoma.",
"July 23, 2009","A janitor at the United States Courthouse in Las Vegas, Nevada locks a female co-worker in a courthouse bathroom and","A janitor at the United States Courthouse in Las Vegas, Nevada locks a female co-worker in a courthouse bathroom and","A janitor at the United States Courthouse in Las Vegas, Nevada locks a female co-worker in a courthouse bathroom and"
,sexually assaults her.,sexually assaults her.,
"July 15, 2009",After being sentenced to prison for aggravated battery a prisoner hangs himself in a holding cell at the Kane County,After being sentenced to prison for aggravated battery a prisoner hangs himself in a holding cell at the Kane County,After being sentenced to prison for aggravated battery a prisoner hangs himself in a holding cell at the Kane County
,"Judicial Center in St. Charles, Illinois.","Judicial Center in St. Charles, Illinois.",
"June 22, 2009",After being order taken into custody a man assaults a corrections officer and escapes from the Williams County,After being order taken into custody a man assaults a corrections officer and escapes from the Williams County,
,"Courthouse in Williston, North Dakota.","Courthouse in Williston, North Dakota.",
"May 21, 2009","During a probation revocation hearing at the United States Courthouse in McAllen, Texas a federal prisoner pulls out a","During a probation revocation hearing at the United States Courthouse in McAllen, Texas a federal prisoner pulls out a","During a probation revocation hearing at the United States Courthouse in McAllen, Texas a federal prisoner pulls out a"
,razor blade and slashes the face and neck of a Deputy U.S. Marshal.,razor blade and slashes the face and neck of a Deputy U.S. Marshal.,
"May 17, 2009","An improvised incendiary device is discovered outside of the United States Courthouse in Sacramento, California.","An improvised incendiary device is discovered outside of the United States Courthouse in Sacramento, California.",Two
,suspects are subsequently arrested and charged with the incident.,suspects are subsequently arrested and charged with the incident.,
"April 14, 2009",A juvenile defendant violently attacks his court-appointed lawyer during a hearing held at the Hennepin County,A juvenile defendant violently attacks his court-appointed lawyer during a hearing held at the Hennepin County,
,"Government Center in Minneapolis, Minnesota.","Government Center in Minneapolis, Minnesota.",
"February 17, 2009",Serving a life sentence with no chance of parole a prisoner picks his handcuffs and escapes from a holding area at,Serving a life sentence with no chance of parole a prisoner picks his handcuffs and escapes from a holding area at,
,"Maricopa County Superior Court in Phoenix, Arizona.","Maricopa County Superior Court in Phoenix, Arizona.",
"February 9, 2009","Officials discover a pipe bomb outside the Washington County Courthouse in Hillsboro, Oregon.","Officials discover a pipe bomb outside the Washington County Courthouse in Hillsboro, Oregon.",
"February 7, 2009","A prisoner attempting to escape from the Macomb County Courthouse in Mount Clemens, Michigan is found in a","A prisoner attempting to escape from the Macomb County Courthouse in Mount Clemens, Michigan is found in a",
,judges car trunk.,The vehicle had been left unlocked and the prisoner used the interior trunk release button to get in.,The vehicle had been left unlocked and the prisoner used the interior trunk release button to get in.
"January 26, 2009","A mistrial is declared at San Diego Superior Court in San Diego, California after an on-bond defendant smears human","A mistrial is declared at San Diego Superior Court in San Diego, California after an on-bond defendant smears human","A mistrial is declared at San Diego Superior Court in San Diego, California after an on-bond defendant smears human"
,feces on the face of his attorney and then throws more at jurors.,feces on the face of his attorney and then throws more at jurors.,
"November 13, 2008",While attempting to get a restraining order against his son a man is stabbed to death by his son at the Portsmouth,While attempting to get a restraining order against his son a man is stabbed to death by his son at the Portsmouth,
,"General District Court in Portsmouth, Virginia.","General District Court in Portsmouth, Virginia.",
,CENTER FOR JUDICIAL AND EXECUTIVE SECURITY,CENTER FOR JUDICIAL AND EXECUTIVE SECURITY,
