Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10,M,4,5,,,,9
,F,2,6,,,1,9
,U,,,,,,
10--14,M,2,1,,,,3
,F,2,1,,,,3
,U,,,,,,
15-19,M,9,27,,,,36
,F,2,6,,,,8
,U,,,,,,
20-24,M,8,39,,,,47
,F,9,11,,,,20
,U,,,,,1,1
25-29,M,7,33,,,,40
,F,6,2,,,,8
,U,,,,,,
30-34,M,11,15,,1,,27
,F,5,7,,1,,13
,U,,,,,,
35-39,M,7,19,,,,26
,F,8,3,,,,11
,U,,,,,,
40-44,M,11,9,,,1,21
,F,4,5,,1,,10
,U,,,,,,
45-49,M,3,10,,,,13
,F,3,1,,1,,5
,U,,,,,,
50-54,M,6,2,,,,8
,F,1,2,,,,3
,U,,,,,,
55-59,M,4,,,,,4
,F,1,1,,,,2
,U,,,,,,
60-64,M,4,1,,,,5
,F,2,,,,,2
,U,,,,,,
65 & Over,M,5,6,,,1,12
,F,5,5,,,1,11
,U,,,,,,
Unknown,M,5,9,,,1,15
,F,2,2,,,,4
,U,1,,,,2,3
TOTAL,M,86,176,,1,3,266
,F,52,52,,3,2,109
,U,,1,,,3,4
