Offenses,Number of Proparty Descriptions,Value Stolen
Bribery,6,"1,046"
Embezzlement,3014,"10,118,246"
Extortion/Blackmail,53,"149,124"
False Pretense/Swindle/Confidence Game,6719,"11,579,314"
Credit Card/ATM Fraud,3544,"2,522,958"
Impersonation,"1,298","750,256"
Welfare Fraud,57,"34,265"
Wire Fraud,166,"143,742"
TOTAL FRAUD:,11784,"15,030,535"
Kidnaping/Abduction,266,"13,798"
Pocket-Picking,896,"153,071"
Purse-Snatching,940,"11,960"
Shoplifting,23830,"3,888,245"
Theft From Building,48058,"36,454,833"
Theft From Coin-Operated Machine,1379,"242,992"
Theft From Motor Vehicle,67856,"32,051,203"
Theft of Motor Vehicle Parts/Accessories,15971,"7,260,484"
All Other Larceny,91087,"57,773,900"
TOTAL LARCENY:,250017,"137,836,688"
Motor Vehicle Theft,18328,"111,721,528"
Robbery,9953,"15,766,290"
GRAND TOTAL:,293421,"$290,637,255"
Additional Analysis of Larceny/Theft Offenses,,
$200 and Over,90748,"130,536,254"
$50 to $200,57376,"5,993,720"
Under $50,101893,"1,306,714"
TOTAL LARCENY/THEFT:,250017,"$137,836,688"
