Type of Weapon/Force,Murder/Nonnegligent Manslaughter,Aggravated Assault,Forcible Rape,Forcible Sodomy,Sexual Assault with an Object,Forcible Fondling,Robbery
Firearm (type unk.),200,557,8,2,0,4,566
Automatic Firearm,5,56,2,0,0,0,121
Handgun,86,730,27,7,3,5,2001
Automatic Handgun,16,139,4,2,0,0,445
Rifle,14,62,1,0,0,0,42
Automatic Rifle,3,4,0,0,0,0,4
Shotgun,10,74,2,0,0,0,125
Automatic Shotgun,0,1,0,0,0,0,1
Other Firearm,1,112,0,0,0,0,29
Other Auto. Firearm,0,2,0,0,0,0,2
Knife/Cutting Instr.,28,2048,56,6,6,10,569
Blunt Object,11,1296,6,2,9,2,163
Motor Vehicle,6,415,0,0,0,1,3
Personal Weapons,16,3241,1112,382,208,1489,1772
Poison,1,15,0,0,0,0,0
Explosives,0,5,0,0,0,0,9
Fire/Incend. Device,4,27,0,0,0,0,3
Drugs/Narc./Sleep Pills,6,3,13,0,1,2,1
Asphyxiation,2,2,1,1,0,0,1
Other,7,1316,147,58,23,230,347
Unknown,46,410,115,52,39,137,443
