Offenses,Persons Arrested,,Percent Crime Distribution by Gender,
,Male,Female,Male,Female
Murder/Nonnegligent Manslaughter,228,33,27,0.12
Negligent Manslaughter,3,1,0,0
Kidnapping,664,50,78,0.18
Forcible Rape,476,6,0.56,0.02
Forcible Sodomy,195,12,0.23,0.04
Sexual Assault with an Object,96,3,0.11,0.01
Forcible Fondling,689,20,0.81,0.07
Robbery,1364,122,1.6,0.44
Aggravated Assault,3680,1058,4.31,3.84
Simple Assault,25034,8989,29.34,32.59
Intimidation,1222,397,1.43,1.44
Arson,334,55,0.39,0.2
Extortion/Blackmail,21,8,0.02,0.03
Burglary/Breaking & Entering,3616,402,4.24,1.46
Pocket-picking,130,82,0.15,0.3
Purse-snatching,29,17,0.03,0.06
Shoplifting,5371,4411,6.29,15.99
Theft from Building,530,216,0.62,0.78
Theft from Coin-Operated Machine or Device,69,6,0.08,0.02
Theft from Motor Vehicle,558,48,0.65,0.17
Theft of Motor Vehicle Parts or Accessories,143,8,0.17,0.03
All Other Larceny,6397,2793,7.5,10.13
Motor Vehicle Theft,1349,209,1.58,0.76
Counterfeiting/Forgery,1761,1366,2.06,4.95
False Pretenses/Swindle/Confidence Game,1114,588,1.31,2.13
Credit Card/Automatic Teller Machine Fraud,174,159,0.2,0.58
Impersonation,254,91,0.3,0.33
Welfare Fraud,9,52,0.01,0.19
Wire Fraud,7,1,0.01,0
Embezzlement,577,673,0.68,2.44
Stolen Property Offenses,820,134,0.96,0.49
DestructionDamage/Vandalism of Property,3491,842,4.09,3.05
Drug/Narcotic Violations,21180,4064,24.82,14.74
Drug Equipment Violations,178,62,0.21,0.22
Incest,10,0,0.01,0
Statutory Rape,126,2,0.15,0.01
Pornography/Obscene Material,49,5,0.06,0.02
Betting/Wagering,22,0,0.03,0
Operating/Promoting/Assisting Gambling,4,0,0,0
Gambling Equipment Violations,3,1,0,0
Sports Tampering,0,0,0,0
Prostitution,130,296,0.15,1.07
Assisting or Promoting Prostitution,74,23,0.09,0.08
Bribery,3,1,0,0
Weapon Law Violations,3141,273,3.68,0.99
Total,85325,27579,100,100
