Age,Victim,,Offender,,
,Male,Female,Male,Female,Unknown
Under 10,,59,3,,
10--12,3,112,18,,
13--14,1,256,37,,
15,2,134,39,,
16,,113,59,2,
17,,97,73,,
18,,104,8,,
19,,80,103,1,1
20,,82,107,1,1
21,1,49,72,,
22,,57,102,,
23,,42,59,1,
24,,39,48,,
25-29,1,146,205,1,2
30-34,1,110,209,1,
35-39,,117,183,,
40-44,1,72,118,1,1
45-49,,39,58,,
50-54,,16,46,4,
55-59,,4,11,,
60-64,,3,9,,
65 & Over,,17,13,,
Unknown,,9,164,1,106
TOTAL,10,1757,1824,7,117
White,7,1117,866,4,1
Black,3,616,893,3,2
Am. Ind. or Alaskan Native,,1,3,,
Asian or Pacific Isl.,,13,10,,
Unknown,,10,52,,114
TOTAL,10,1757,1824,7,117
