Bureau of Justice Statistics,,,,,,,,,,
Filename: mlj07at02.csv,,,,,,,,,,
"Appendix table 2. Number of jail inmate deaths, by cause of death, 2000–2007 ",,,,,,,,,,
"Report title: Mortality in Local Jails, 2000-2007  NCJ 222988",,,,,,,,,,
Data source(s): Deaths in Custody Reporting Program,,,,,,,,,,
Author(s): Margaret E. Noonan,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202) 307-0765,,,,,,,,,,
Date of version: 10-27-2010,,,,,,,,,,
,,,,,,,,,,
"Appendix table 2. Number of jail inmate deaths, by cause of death, 2000–2007 ",,,,,,,,,,
Cause of death,,2000–2007,2000,2001,2002,2003,2004,2005,2006,2007
, All causes,"8,097",904,944,972,"1,004","1,024","1,049","1,098","1,102"
Suicide,,"2,361",289,314,314,296,299,286,278,285
Heart disease,,"1,788",198,216,221,241,227,203,250,232
Drug/alcohol intoxication,,566,37,58,55,89,77,84,87,79
"Illness, specific cause missinga",,480,79,47,53,35,58,70,59,79
AIDS,,410,57,59,51,54,52,40,54,43
Unknown/other cause,,489,20,30,42,62,59,129,56,91
Accidental,,229,25,35,35,28,32,24,32,18
Cancer,,274,31,25,39,34,28,37,38,42
Liver disease,,235,24,27,25,30,33,32,25,39
Homicide,,171,17,19,18,15,24,22,36,20
Cebrovascular diseases,,165,15,18,22,18,19,16,30,27
Respiratory diseasesb,,129,19,10,12,12,20,14,16,26
Digestive diseasesc,,125,15,16,8,12,16,14,22,22
Influenza/pneumonia,,103,13,9,11,11,16,8,12,23
Chronic substance abused,,84,3,10,14,7,11,9,17,13
Septicemia,,84,14,9,11,12,5,6,16,11
Aortic aneurysm,,52,4,5,7,6,6,7,8,9
Diabetes,,48,4,3,5,6,6,10,7,7
Kidney disorders,,39,3,1,7,7,4,7,8,2
Other central nervous system diseases,,23,1,6,3,4,1,1,6,1
Inflammation of the central nervous system,,22,2,2,1,3,5,0,5,4
Atherosclerosis,,17,2,1,3,2,1,2,3,3
Episodic paroxysm,,16,1,4,0,1,3,1,3,3
Viral hepatitis,,16,1,3,0,1,1,6,2,3
Surgical complications,,12,4,1,1,1,2,0,3,0
Essential hypertension and hypertensive renal disease ,,11,1,3,0,1,0,2,3,1
Benign neoplasm,,10,1,1,0,2,1,2,1,2
Other bacterial,,9,2,1,0,1,0,3,0,2
Congrenital malformation,,8,2,1,2,1,1,1,0,0
Tuberculosis,,7,1,1,0,1,1,2,1,0
Anemia,,6,0,1,0,0,1,1,1,2
Mycoses,,6,0,0,2,0,1,1,2,0
Pregnancy/birth,,6,1,0,1,1,2,0,1,0
Soft tissue disorders,,6,2,1,1,0,1,0,1,0
Disorders of veins/lymph nodes,,5,0,0,1,0,1,0,2,1
Thyroid disorders,,5,1,0,0,1,0,1,0,2
Blood disorders,,4,0,0,1,1,0,0,0,2
Mental disorder,,4,1,0,1,0,0,1,1,0
Metabolic disorders,,4,2,0,0,1,0,0,1,0
Unspecified circulatory disorders,,4,2,0,0,0,0,1,1,0
Appendicitis,,3,1,2,0,0,0,0,0,0
Hernia,,3,0,0,0,1,0,0,0,2
Other viral disorders,,3,0,0,0,1,0,1,0,1
Arthritis,,2,1,0,1,0,0,0,0,0
Endocrine disorders,,2,0,0,1,1,0,0,0,0
Immune system disorders,,2,0,0,1,0,1,0,0,0
Multiple sclerosis,,2,0,1,0,0,1,0,0,0
Connective tissue disorder,,2,0,0,0,1,0,1,0,0
Protozoal disorders,,2,1,0,0,1,0,0,0,0
Other urinary tract disorders,,2,0,1,0,1,0,0,0,0
Glucose disorders,,2,0,0,0,0,0,0,1,1
Atrophy of the central nervous system,,2,0,0,1,0,0,0,0,1
"Infectious diseases, other",,1,0,0,0,0,0,0,0,1
Nerve or nerve root disorders,,1,0,0,0,0,0,0,0,1
Nutrition deficiencies,,1,0,0,0,0,0,1,0,0
Obesity,,1,0,0,0,0,0,0,1,0
Salmonella poisoning,,1,0,0,0,0,0,0,1,0
Skin disorders,,1,0,0,0,0,0,0,1,0
Spirochetal other,,1,0,1,0,0,0,0,0,0
Viral infections of the central nervous system,,1,0,0,0,0,0,0,0,1
Multiple illnessese,,29,7,2,1,1,8,3,7,0
"a/The manner of death was marked as “illness,” but a medical cause of death was not given.",,,,,,,,,,
b/Excludes influenza and pneumonia.,,,,,,,,,,
c/Excludes diseases of the liver.,,,,,,,,,,
d/Excludes acute intoxication deaths.,,,,,,,,,,
"e/Such cases included a text description of the illness, but the information was insufficient to classify the death to a single cause.",,,,,,,,,,
