Bureau of Justice Statistics,,,,,
Filename: mlj07t01.csv,,,,,
"Table 1. Number of deaths and mortality rate per 100,000 jail inmates, by cause, 2000–2007",,,,,
"Report title: Mortality in Local Jails, 2000-2007  NCJ 222988",,,,,
Data source(s): Deaths in Custody Reporting Program,,,,,
Author(s): Margaret E. Noonan,,,,,
Refer questions to: askbjs@usdoj.gov  (202) 307-0765,,,,,
Date of version: 10-27-2010,,,,,
,,,,,
"Table 1. Number of deaths and mortality rate per 100,000 jail inmates, by cause, 2000–2007",,,,,
,,Jail inmate deaths,,,
All causes,,Number,Percent ,,"Average annual mortality rate per 100,000 jail  inmates"
,Total ,"8,097",100,%,145
Suicide,,"2,361",29,%,42
Illness,,"4,281",53,%,77
,Heart disease,"1,789",22,,32
,AIDS,410,5,,7
,Cancer,273,3,,5
,Liver disease,234,3,,4
,All other illnesses*,"1,582",19,,28
Drug/alcohol intoxication,,566,7,%,10
Accident,,229,3,%,4
Homicide,,171,2,%,3
Other/unknown,,489,6,%,8
Note: Mortality rates are based on average daily population as reported to the Deaths in Custody Reporting Program.,,,,,
"*Includes other specified (such as influenza, septicemia, diabetes, and hepatitis) and unspecified or unknown illnesses. See appendix tables 2 and 3 of this report for a list of the more than 50 illnesses reported to the program. See Methodology for details on illness classifications.",,,,,
