Bureau of Justice Statistics,,,,,,,,,,
Filename: mlj07t02.csv,,,,,,,,,,
"Table 2. Number and percent of jail jurisdictions, by number of deaths reported each year, 2000-2007",,,,,,,,,,
"Report title: Mortality in Local Jails, 2000-2007  NCJ 222988",,,,,,,,,,
Data source(s): Deaths in Custody Reporting Program,,,,,,,,,,
Author(s): Margaret E. Noonan,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202) 307-0765,,,,,,,,,,
Date of version: 10-27-2010,,,,,,,,,,
,,,,,,,,,,
"Table 2. Number and percent of jail jurisdictions, by number of deaths reported each year, 2000-2007",,,,,,,,,,
,Number reporting to the Deaths in Custody Reporting Program (DCRP),Number of jail jurisdictions reporting deaths,,,,,,,,
,, 0 deaths,,, 1 death ,,, 2 or more deaths,,
Year,,Number ,Percent,,Number,Percent,,Number,Percent ,
2000,"3,072","2,631",86,%,293,10,%,148,5,%
2001,"3,052","2,562",84,,334,11,,156,5,
2002,"3,036","2,543",84,,339,11,,154,5,
2003,"3,019","2,498",83,,362,12,,159,5,
2004,"3,003","2,478",83,,371,12,,154,5,
2005,"2,977","2,447",82,,368,12,,162,5,
2006,"2,946","2,395",81,,381,13,,170,6,
2007,"2,924","2,378",81,,363,12,,183,6,
Annual average,,,,,,,,,,
2000-2007,"3,004","2,492",83,%,351,12,%,161,5,%
"Note: Detail may not sum to total due to rounding. See Methodology of this report for response rates. Declining number of jails is documented in Jail Inmates at Midyear, 2007, BJS Web, 6 June 2008.",,,,,,,,,,
