Bureau of Justice Statistics,,,,,,,,
Filename: mlj07f01.csv,,,,,,,,
"Figure 1. Mortality rate per 100,000 jail inmates and the average daily population, 2000-2007",,,,,,,,
"Report title: Mortality in Local Jails, 2000-2007  NCJ 222988",,,,,,,,
Data source(s): Deaths in Custody Reporting Program,,,,,,,,
Author(s): Margaret E. Noonan,,,,,,,,
Refer questions to: askbjs@usdoj.gov  (202) 307-0765,,,,,,,,
Date of version: 07-07-2010,,,,,,,,
,,,,,,,,
"Figure 1. Mortality rate per 100,000 jail inmates and the average daily population, 2000-2007",,,,,,,,
Year,2000,2001,2002,2003,2004,2005,2006,2007
Mortality rate,152,149,146,145,144,138,143,141
Average daily population (ADP),"597,226",636445,"668,168","694,053","715,949","760,178","771,090","782,592"
