Complaints - Criminal,Total
Alcohol Related,74
Arson,0
Assault on Family,65
Assault on Non Family,71
Assault Unknown Rel.,1
Bad Check,53
Bomb Device,0
Bomb Threat,1
Bribery,0
Burglary of Business,2
Burglary of Residence,21
Burglary of Other,0
Child Abuse/Neglect,12
Counterfeiting,1
Destruction of Property,103
Drugs,105
Extortion/Blacksmail,0
Unknown 9-1-1 Calls,209
Forgery,16
Fraud,25
Gambling,1
Harassment,71
Homicide,1
Juvenile Related,88
Kidnapped/Abduction,0
Larceny,193
Littering/Trash,5
Noise Complaints,154
Ordinance Violation,14
Robbery,4
Paper Services (Arrests),256
Protective Orders Served,81
Protective Orders Viol.,7
Prowlers,8
Pursuits,0
Sexual Assault,11
Sexual Offense,5
Threatening,46
Trespassing,114
Weapon Viol.,13
Total Criminal,1831
