Complaints - Non Criminal,Total
Accidental Death/Non Traffic,0
Accidental Injury/Non Traffic ,5
Accidental Property Damage ,0
Alarms ,223
Animal Calls ,462
Assist Citizens,188
Assist Other Agencies ,215
Civil Disputes ,92
Death Inv. ,5
Disputes/Family ,151
Disputes/Non Family ,152
Disputes/Unknown Rel. ,20
Emergency Man/Haz Mat ,1
Fire/Rescue ,177
Inoperative Vehicles ,18
Locked Keys in Vehicle ,398
Mental Health ,73
Miscellaneous Calls ,225
Missing Persons ,18
Property Rep. Lost/Found ,56
Suicide/Attempted ,4
Suspicious Incidents/Persons ,482
Traffic Complaints ,701
Welfare Checks ,72
Window/Door Open ,33
Total Non Criminal ,3771
