STATE,NIIN_ITEM_NAME,NATIONAL_STOCK_NUMBER,QUANTITY, TOTAL_COST , TOTAL_COST ,SHIP_DATE
AK,CPCVX KIT TOOL BOX,518000TOOLKIT,1,750.00, $ 750.00 ,20111007
AK,CLASS 5 SAFE,711000SAFE,1,4000.00," $ 4,000.00 ",20111103
AK,SNOW BLOWER,3825SNOWBLOW,1,300.00, $ 300.00 ,20111104
AK,"SHIRT,COLD WEATHER ",8415014618341,10,57.62, $ 576.20 ,20111114
AK,FIELD PACK         ,8465010199103,5,45.44, $ 227.20 ,20111128
AK,"FRAME,FIELD PACK   ",8465010738326,5,36.88, $ 184.40 ,20111128
AK,TRAILER   SNOWMOBILE,233000TRAILER,1,1300.00," $ 1,300.00 ",20111128
AK,"SLED,SELF-PROPELLED",2350013558122,2,4904.00," $ 9,808.00 ",20111208
AK,YUKON  FIRE SAFE,7110DSSAFE000,1,800.00, $ 800.00 ,20111229
AK,"BOOTS,EXTREME COLD ",8430006555536,2, 212.94 , $ 425.88 ,20120105
AK,"FIELD PACK,LARGE,SE",8465015236275,2, 139.29 , $ 278.58 ,20120105
AK,"POUCH,M4 THREE MAG ",8465015250598,20, 18.51 , $ 370.20 ,20120105
AK,"FIELD PACK,LARGE,SE",8465015236275,1, 261.93 , $ 261.93 ,20120123
AK,SLEEPING SYSTEM OUT,8465013062681,1, 208.97 , $ 208.97 ,20120123
AK,BIVY COVER         ,8465014168517,10, 152.84 ," $ 1,528.40 ",20120123
AK,"MITTEN SET,EXTREME ",8415007826716,10, 35.86 , $ 358.60 ,20120123
AK,2004 ATV SUZUKI,2340DSATV4WHE,2, 5195.00 ," $ 10,390.00 ",20120123
AK,"MITTEN SET,EXTREME ",8415007826716,2, 35.86 , $ 71.72 ,20120123
AK,"OVERALLS,COLD WEATH",8415014726916,21, 43.37 , $ 910.77 ,20120123
AK,"MITTEN SET,EXTREME ",8415007826717,3, 34.28 , $ 102.84 ,20120123
