COUNTY	AGENCY	PART NUMBER	ITEM	QUANTITY	UNIT	DATE SHIPPED	TYPE
ACCOMACK		2320-01-107-7155	TRUCK,UTILITY	1	Each	6/24/2014	TACTICAL
ACCOMACK		2320-01-371-9577	TRUCK,UTILITY	1	Each	7/24/2014	TACTICAL
ALBEMARLE		1005-00-073-9421	RIFLE,5.56 MILLIMETER	1	Each	3/10/2008	TACTICAL
ALBEMARLE		1005-00-073-9421	RIFLE,5.56 MILLIMETER	1	Each	3/10/2008	TACTICAL
ALEXANDRIA CITY		1005-00-073-9421	RIFLE,5.56 MILLIMETER	1	Each	6/12/2008	TACTICAL
ALEXANDRIA CITY		1005-00-073-9421	RIFLE,5.56 MILLIMETER	1	Each	6/12/2008	TACTICAL
ALEXANDRIA CITY		1005-00-073-9421	RIFLE,5.56 MILLIMETER	1	Each	6/12/2008	TACTICAL
ALEXANDRIA CITY		1005-00-073-9421	RIFLE,5.56 MILLIMETER	1	Each	6/12/2008	TACTICAL
ALEXANDRIA CITY		1005-00-073-9421	RIFLE,5.56 MILLIMETER	1	Each	6/12/2008	TACTICAL
ALEXANDRIA CITY		1005-00-073-9421	RIFLE,5.56 MILLIMETER	1	Each	6/12/2008	TACTICAL
ALEXANDRIA CITY		1005-00-073-9421	RIFLE,5.56 MILLIMETER	1	Each	6/12/2008	TACTICAL
ALEXANDRIA CITY		1005-00-073-9421	RIFLE,5.56 MILLIMETER	1	Each	6/12/2008	TACTICAL
ALEXANDRIA CITY		1005-00-073-9421	RIFLE,5.56 MILLIMETER	1	Each	6/12/2008	TACTICAL
ALEXANDRIA CITY		1005-00-073-9421	RIFLE,5.56 MILLIMETER	1	Each	6/12/2008	TACTICAL
ALEXANDRIA CITY		1005-00-073-9421	RIFLE,5.56 MILLIMETER	1	Each	6/12/2008	TACTICAL
ALEXANDRIA CITY		1005-00-073-9421	RIFLE,5.56 MILLIMETER	1	Each	6/12/2008	TACTICAL
ALEXANDRIA CITY		1005-00-073-9421	RIFLE,5.56 MILLIMETER	1	Each	6/12/2008	TACTICAL
