STATE,NIIN_ITEM_NAME,NATIONAL_STOCK_NUMBER,QUANTITY,TOTAL_COST,SHIP_DATE
AK,"PROCESSOR GROUP,SIGNAL DATA",5820-01-564-4845,2,10000.00,30-AUG-2012
AK,"RIFLE,5.56 MILLIMETER",1005-00-073-9421,1,499.00,30-AUG-2012
AK,BIVY COVER         ,8465-01-416-8517,20,3056.80,25-JUL-2012
AK,SLEEPING BAG,8465-01-398-0685,20,949.40,25-JUL-2012
AK,"ROBOT,EXPLOSIVE ORDNANCE DISPOSAL",1385-01-574-4707,1,10000.00,24-MAY-2012
AK,"TROUSERS,WET WEATHER",8405-00-001-8027,3,82.38,21-JUN-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5535,2,425.88,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5536,3,638.82,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5536,5,1064.70,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5537,2,425.88,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5546,2,425.88,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5550,1,212.94,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5550,2,425.88,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5553,4,851.76,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5553,6,1277.64,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5555,1,212.94,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5555,3,638.82,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5556,1,212.94,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5556,3,638.82,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5558,1,212.94,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5559,1,212.94,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5561,1,212.94,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5562,2,425.88,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5563,1,212.94,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5563,8,1703.52,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5564,3,638.82,20-AUG-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5564,8,1703.52,20-AUG-2012
AK,"TARGET HOLDING SET,TRAINING",6920-01-142-2858,58,130790.00,17-NOV-2011
AK,ONLY COMPLETE COMBAT/ASSAULT/TACTICAL WHEELED VEHICLES,2355-DS-COM-BTV2,1,460000.00,16-DEC-2011
AK,"MITTEN SHELLS,SNOW CAMOUFLAGE",8415-00-261-4827,39,244.14,10-OCT-2012
AK,"PARKA,SNOW CAMOUFLAGE",8415-00-223-7625,11,572.77,10-OCT-2012
AK,"PARKA,SNOW CAMOUFLAGE",8415-00-223-7627,1,52.07,10-OCT-2012
AK,"PARKA,SNOW CAMOUFLAGE",8415-00-223-7628,10,520.70,10-OCT-2012
AK,"TROUSERS,SNOW CAMOUFLAGE",8415-00-935-0567,26,1346.02,10-OCT-2012
AK,"TROUSERS,SNOW CAMOUFLAGE",8415-00-935-0572,2,103.54,10-OCT-2012
AK,"TROUSERS,SNOW CAMOUFLAGE",8415-00-935-0575,1,51.77,10-OCT-2012
AK,"TROUSERS,SNOW CAMOUFLAGE",8415-00-935-0576,1,51.77,10-OCT-2012
AK,"CABINETS, LOCKERS, BINS, AND SHELVING",7125-DS-CAB-INSH,4,400.00,10-AUG-2012
AK,FLAT PANEL MONITOR,7025-DS-FLA-TPAN,8,1000.00,10-AUG-2012
AK,"JACKET,COLD WEATHER",8415-01-538-6067,2,133.10,05-JAN-2012
AK,"JACKET,COLD WEATHER",8415-01-538-6074,1,66.55,05-JAN-2012
AK,"JACKET,COLD WEATHER",8415-01-538-6080,1,66.55,05-JAN-2012
AK,"JACKET,COLD WEATHER",8415-01-538-6082,1,66.55,05-JAN-2012
AK,"JACKET,COLD WEATHER",8415-01-538-6813,1,146.25,05-JAN-2012
AK,"JACKET,COLD WEATHER",8415-01-538-6819,2,292.50,05-JAN-2012
AK,"JACKET,COLD WEATHER",8415-01-538-6819,3,438.75,05-JAN-2012
AK,"JACKET,COLD WEATHER",8415-01-538-6823,1,146.25,05-JAN-2012
AK,"JACKET,COLD WEATHER",8415-01-538-6823,2,292.50,05-JAN-2012
AK,"JACKET,COLD WEATHER",8415-01-538-6825,1,146.25,05-JAN-2012
AK,"JACKET,COLD WEATHER",8415-01-546-8745,1,66.55,05-JAN-2012
AK,"JACKET,COLD WEATHER",8415-01-546-8758,1,66.55,05-JAN-2012
AK,"JACKET,COLD WEATHER",8415-01-546-8809,1,66.55,05-JAN-2012
AK,"JACKET,COLD WEATHER",8415-01-547-6251,1,146.25,05-JAN-2012
AK,"TROUSERS,WET WEATHER",8405-00-001-8026,1,27.46,05-JAN-2012
AK,"TROUSERS,WET WEATHER",8405-00-001-8028,1,27.46,05-JAN-2012
AK,"TROUSERS,WET WEATHER",8405-00-001-8029,1,27.46,05-JAN-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5535,1,212.94,03-JUL-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5535,5,1064.70,03-JUL-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5536,2,425.88,03-JUL-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5536,3,638.82,03-JUL-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5537,1,212.94,03-JUL-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5546,1,212.94,03-JUL-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5547,1,212.94,03-JUL-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5549,1,212.94,03-JUL-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5550,5,1064.70,03-JUL-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5553,4,851.76,03-JUL-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5553,8,1703.52,03-JUL-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5556,1,212.94,03-JUL-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5563,1,212.94,03-JUL-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5563,2,425.88,03-JUL-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5563,7,1490.58,03-JUL-2012
AK,"BOOTS,EXTREME COLD WEATHER",8430-00-655-5564,1,212.94,03-JUL-2012
