OFFENSE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
MURDER/NONNEG MANSLAUGHTER,0,0,1,0,2,0,2,1,1,3,2,1,13
ABDUCTION/KIDNAPPING,0,3,6,0,1,3,3,3,2,1,2,0,24
FORCIBLE RAPE,4,3,1,0,1,2,6,1,3,2,3,2,28
OTHER FORCIBLE SEX OFFENSES,10,4,6,5,6,4,2,9,2,3,4,4,59
ROBBERY,13,11,8,21,9,14,8,8,22,14,14,15,157
AGGRAVATED ASSAULT,8,6,10,15,11,9,11,20,12,18,16,11,147
SIMPLE ASSAULT/INTIMIDATION,179,152,181,218,204,181,179,164,195,181,159,150,2143
ARSON,2,1,3,3,0,1,4,2,2,2,4,0,24
EXTORTION/BLACKMAIL,0,0,0,0,1,0,0,0,0,0,0,0,1
RESIDENTIAL BURGLARY,48,37,58,42,51,59,35,35,71,63,62,47,608
COMMERCIAL BURGLARY,11,11,13,9,11,8,5,10,8,15,11,9,121
SHOPLIFTING,93,95,111,137,114,95,110,135,112,108,82,98,1290
THEFT FROM BUILDING,9,7,3,8,12,7,6,15,12,13,12,8,112
OTHER LARCENIES,213,175,234,262,216,225,246,301,250,254,249,222,2847
MOTOR VEHICLE THEFT,24,15,29,27,22,28,33,32,15,28,27,43,323
COUNTERFEITING/FORGERY,18,8,7,8,22,11,8,19,13,22,17,14,167
FRAUD,53,48,33,27,41,51,32,35,42,45,54,34,495
EMBEZZLEMENT,15,16,14,17,11,14,16,11,12,11,19,15,171
STOLEN PROPERTY OFFENSES,1,5,0,1,3,3,1,3,0,3,2,3,25
DESTRUCTION/VANDALISM,173,136,191,173,174,212,224,257,219,230,205,159,2353
DRUG/NARCOTIC OFFENSES,73,62,68,86,62,50,72,59,57,85,73,59,806
NONFORCIBLE SEX OFFENSES,1,0,1,1,0,0,1,1,0,0,0,0,5
PORNOGRAPHY,1,0,0,0,1,0,0,2,0,2,0,0,6
GAMBLING,0,0,0,0,0,0,0,0,0,0,0,0,0
PROSTITUTION,0,0,0,1,0,0,0,0,0,0,0,0,1
BRIBERY,0,0,0,0,0,0,0,0,0,0,0,0,0
WEAPON LAW VIOLATION,31,22,36,43,43,29,31,29,27,37,35,19,382
TOTAL GROUP A OFFENSES,980,817,"1,014","1,104","1,018","1,006","1,035","1,152","1,077","1,140","1,052",913,12308
