OTHER AGENCIES,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Dept. Alcoholic Beverage Control,,,185,0,0,0,0,0,0,9,0,0,0,39,0,25,42,4,0,1,77,0,1,0,1,0,2
Dept. of Conservation and Recreation,,,75,0,1,0,1,0,1,7,0,0,0,51,0,0,0,1,0,13,6,0,0,0,0,0,0
Dept of Motor Vehicles,,,620,0,0,0,0,0,0,2,0,1,0,13,1,402,174,45,39,2,3,0,0,0,0,4,1
Division of Capitol Police,,,84,0,0,0,1,0,0,6,0,0,0,59,0,1,0,0,0,18,0,0,0,0,0,0,0
Metro. Washington Airport Authority,,,826,0,0,0,0,1,4,32,0,0,1,396,84,11,12,7,17,212,25,0,0,0,0,1,41
Norfolk Airport Authority,,,117,0,0,0,0,0,0,1,0,0,0,59,4,0,1,0,0,37,9,0,0,0,0,0,8
Richmond International Airport,,,92,0,0,0,0,0,1,1,0,0,0,46,11,0,19,2,1,5,5,0,0,0,0,0,1
Southside VA Training Center,,,133,0,0,1,4,0,4,81,0,0,0,25,0,0,0,0,0,18,0,0,0,0,0,0,0
Virginia Port Authority,,,10,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,2
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
