Offenses,Number of Arrests,Percent Distribution,"Rate per 100,000 Inhabitants"
Murder/Nonnegligent Manslaughter,311,0.23,4
Negligent Manslaughter,12,0.01,0.15
Kidnaping/Abduction,966,0.72,12.43
Forcible Rape,379,0.28,4.88
Forcible Sodomy,179,0.13,2.3
Sexual Assault with an Object,114,0.09,1.47
Forcible Fondling of a Child,660,0.49,8.5
Robbery,2131,1.59,27.43
Aggravated Assault,4697,3.51,60.46
Simple Assault,37145,27.74,478.11
Intimidation,1684,1.26,21.68
Arson,310,0.23,3.99
Extortion/Blackmail,68,0.05,0.88
Burglary/Breaking & Entering,4618,3.45,59.44
Pocket Picking,199,0.15,2.56
Purse Snatching,20,0.01,0.26
Shoplifting,13375,9.99,172.16
Theft from Building,789,0.59,10.16
Theft from Coin-Operated Machine or Device,47,0.04,0.6
Theft from Motor Vehicle,575,0.43,7.4
Theft of Motor Vehicle Parts or Accessories,171,0.13,2.2
All Other Larceny,11880,8.87,152.91
Motor Vehicle Theft,1033,0.77,13.3
Counterfeiting/Forgery,2455,1.83,31.6
False Pretenses/Swindle/Confidence Game,2599,1.94,33.45
Credit Card/Automatic Teller Machine Fraud,614,0.46,7.9
Impersonation,605,0.45,7.79
Welfare Fraud,62,0.05,0.8
Wire Fraud,15,0.01,0.19
Embezzlement,1955,1.46,25.16
Stolen Property Offenses,989,0.74,12.73
Destruction/Damage/Vandalism of Property,5039,3.76,64.86
Drug/Narcotic Violations,32929,24.59,423.85
Drug Equipment Violations,288,0.22,3.71
Incest,9,0.01,0.12
Statutory Rape,108,0.08,1.39
Pornography/Obscene Material,96,0.07,1.24
Betting/Wagering,48,0.04,0.62
Operating/Promoting/Assisting Gambling,4,0,0.05
Gambling Equipment Violations,4,0,0.05
Sports Tampering,2,0,0.03
Prostitution,434,0.32,5.59
Assisting or Promoting Prostitution,123,0.09,1.58
Bribery,21,0.02,0.27
Weapon Law Violations,4127,3.08,53.12
Total,133889,100,1712.36
