Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10,M,3,1,,,,4
,F,4,4,,,,8
10--14,M,,4,,,,4
,F,,1,,,,1
15-19,M,6,28,,,,34
,F,3,2,,1,,6
20-24,M,19,35,,2,1,57
,F,5,7,,,,12
25-29,M,9,24,,1,1,35
,F,6,5,,,,11
30-34,M,10,20,,,1,31
,F,6,3,,,,9
35-39,M,7,13,,1,,21
,F,6,1,,,,7
40-44,M,6,11,,,,17
,F,5,6,,,,11
45-49,M,19,6,,,,25
,F,8,3,,,,11
50-54,M,11,7,,,,18
,F,1,1,,,,2
55-59,M,3,3,,,,6
,F,3,1,,,,4
60-64,M,3,1,,,,4
,F,2,2,,,,4
65 & Over,M,5,5,,,,10
,F,7,3,,1,,11
Unknown,M,1,1,,,,2
,F,2,,,,1,3
,Unknown,,,,,1,1
TOTAL,M,102,159,,4,3,268
,F,58,39,,2,1,100
,Unknown,,,,,1,1
