Offenses,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Murder/Nonnegligent Manslaughter,311,84,227,,
Negligent Manslaughter,12,9,3,,
Kidnaping/Abduction,966,456,506,,4
Forcible Rape,379,242,129,,8
Forcible Sodomy,179,119,60,,
Sexual Assault with an Object,114,71,42,,1
Forcible Fondling. ,660,457,189,1,13
Robbery,2131,485,1645,,1
Aggravated Assault,4697,2297,2353,4,43
Simple Assault,37145,20337,16479,35,294
Intimidation,1684,1010,662,,12
Arson,310,220,88,,2
Extortion/Blackmail,68,23,45,,
Burglary/Breaking & Entering,4618,2611,1972,2,33
Pocket Picking,199,115,82,,2
Purse Snatching,20,5,14,,1
Shoplifting,13375,7147,6084,9,135
Theft from Building,789,441,340,,8
Theft from Coin-Operated Machine or Device ,47,32,15,,
Theft from Motor Vehicle,575,318,252,,5
Theft of Motor Vehicle Parts or Accessories,171,116,54,,1
All Other Larceny,11880,6514,5261,8,97
Motor Vehicle Theft,1033,517,510,1,5
Counterfeiting/Forgery,2455,1553,886,,16
False Pretenses/Swindle/Confidence Game,2599,1591,984,2,22
Credit Card/Automatic Teller Machine Fraud,614,416,193,1,4
Impersonation,605,320,278,,7
Welfare Fraud,62,31,30,,1
Wire Fraud,15,6,8,,1
Embezzlement,1955,988,944,3,20
Stolen Property Offenses,989,427,557,,5
Destruction/Damage/Vandalism of Property,5039,3199,1802,2,36
Drug/Narcotic Violations,32929,17223,15524,15,167
Drug Equipment Violations,288,226,62,,
Incest,9,8,1,,
Statutory Rape,108,66,42,,
Pornography/Obscene Material,96,87,6,1,2
Betting/Wagering,48,22,25,,1
Operating/Promoting/Assisting Gambling,4,,3,,1
Gambling Equipment Violation,4,1,2,,1
Sports Tampering,2,,2,,
Prostitution,434,250,179,,5
Assisting or Promoting Prostitution,123,76,39,,8
Bribery,21,7,11,,3
Weapon Law Violations,4127,1796,2303,2,26
Total,133889,71919,60893,86,991
