Location,Murder/Nonnegligent Manslaughter,Aggravated Assault,Forcible Rape,Forcible Sodomy,Sexual Assault with an Object,Forcible Fondling,Robbery
Air/Bus/Train Terminal,0,10,3,2,1,3,14
Bank/Savings & Loan,0,3,1,0,1,0,218
Bar/Night Club,6,221,7,0,0,12,25
Church/Synagogue/Temple,1,10,5,2,1,14,6
Commercial/Office Building,0,46,7,0,4,17,103
Construction Site,2,5,1,1,0,0,1
Convenience Store,2,93,1,2,1,13,496
Department/Discount Store,1,46,1,2,5,16,108
Drug Store/Dr Office/Hospital,0,45,10,4,5,21,41
Field/Woods,11,154,75,22,2,39,147
Government/Public Building,1,53,3,6,2,36,22
Grocery/Supermarket,1,30,1,1,0,11,80
Highway/Road/Alley,76,2186,80,23,17,123,2395
Hotel/Motel,1,121,79,15,4,43,158
Jail/Penitentiary,0,74,3,6,1,8,5
Lake/Waterway,0,11,4,3,1,3,9
Liquor Store,0,2,0,0,0,0,6
Parking Lot/Garage,36,697,49,11,12,40,1087
Rental/Storage Facility,1,4,2,0,0,0,1
Residence/Home,188,4511,1259,393,227,1561,1663
Restaurant,4,113,6,2,2,24,266
School/College,0,201,39,12,21,177,88
Service/Gas Station,1,38,3,0,0,1,161
Specialty Store,0,31,3,1,2,11,164
Other/Unknown,12,322,96,35,16,175,222
TOTAL,344,9027,1738,543,325,2348,7486
