Age,Victim,,Offender,,
,Male,Female,Male,Female,Unknown
Under 10 ,6,67,8,,
10--12 ,1,80,15,,
13--14 ,2,186,50,2,
15,2,107,46,2,
16,,111,63,,
17,1,112,64,,
18,,111,108,1,
19,,87,64,2,
20,,63,72,1,1
21,,77,82,2,
22,,59,80,,
23,,48,65,1,
24,,54,46,1,
25--29 ,1,174,227,2,
30--34 ,,112,158,1,
35--39 ,,86,127,4,
40--44 ,1,81,139,1,
45--49 ,,61,90,,2
50--54 ,1,27,61,,
55--59 ,,13,34,,
60--64 ,,4,15,,
65 & Over ,,12,11,,
Unknown Age ,,13,136,1,71
TOTAL ,15,1745,1761,21,74
White ,11,1191,935,15,
Black ,3,511,767,4,3
Am. Ind. or ,,,,,
Alaskan Native ,,,2,,
Asian or ,,,,,
Pacific Islander ,,19,18,1,
Unknown Race ,1,24,39,1,71
TOTAL ,15,1745,1761,21,74
