Offenses,Persons Arrested,,Percent Crime Distribution by Gender,
,Male,Female,Male,Female
Murder/Nonnegligent Manslaughter,277,34,0.28,0.09
Negligent Manslaughter,12,0,0.01,0
Kidnaping/Abduction,861,105,0.88,0.29
Forcible Rape,375,4,0.38,0.01
Forcible Sodomy,175,4,0.18,0.01
Sexual Assault with an Object,113,1,0.12,0
Forcible Fondling,640,20,0.66,0.06
Robbery,1945,186,1.99,0.51
Aggravated Assault,3546,1151,3.63,3.18
Simple Assault,26330,10815,26.95,29.88
Intimidation,1254,430,1.28,1.19
Arson,260,50,0.27,0.14
Extortion/Blackmail,49,19,0.05,0.05
Burglary/Breaking & Entering,4108,510,4.21,1.41
Pocket Picking,133,66,0.14,0.18
Purse Snatching,18,2,0.02,0.01
Shoplifting,6386,6989,6.54,19.31
Theft from Building,558,231,0.57,0.64
Theft from Coin-Operated Machine or Device,40,7,0.04,0.02
Theft from Motor Vehicle,518,57,0.53,0.16
Theft of Motor Vehicle Parts or Accessories,159,12,0.16,0.03
All Other Larceny,7785,4095,7.97,11.31
Motor Vehicle Theft,869,164,0.89,0.45
Counterfeiting/Forgery,1459,996,1.49,2.75
False Pretenses/Swindle/Confidence Game,1644,955,1.68,2.64
Credit Card/Automatic Teller Machine Fraud,351,263,0.36,0.73
Impersonation,452,153,0.46,0.42
Welfare Fraud,7,55,0.01,0.15
Wire Fraud,3,12,0,0.03
Embezzlement,915,1040,0.94,2.87
Stolen Property Offenses,839,150,0.86,0.41
Destruction/Damage/Vandalism of Property,4059,980,4.16,2.71
Drug/Narcotic Violations,26988,5941,27.63,16.41
Drug Equipment Violations,217,71,0.22,0.2
Incest,9,0,0.01,0
Statutory Rape,102,6,0.1,0.02
Pornography/Obscene Material,87,9,0.09,0.02
Betting/Wagering,46,2,0.05,0.01
Operating/Promoting/Assisting Gambling,3,1,0,0
Gambling Equipment Violations,4,0,0,0
Sports Tampering,2,0,0,0
Prostitution,174,260,0.18,0.72
Assisting or Promoting Prostitution,85,38,0.09,0.1
Bribery,16,5,0.02,0.01
Weapon Law Violations,3816,311,3.91,0.86
Total,97689,36200,100,100
