Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,3,0,1,0,0,0,0,0,8,0,7,0,0,0,1,0,4,0,1,0,1,0,0,0,1,0,1,0,0,0,7,3,1,0,0,0,0,0,4,0,2,0,0,0,3,0,9,2,18,3,1,0,13,0,0,0,8,2,1,0,52,1,10,1,1,0,1,0,6,0,9,1,1,0,0,0,0,0,175,13
Manslaughter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Kidnaping,9,0,1,0,1,0,0,0,5,0,37,2,2,0,1,0,1,0,0,0,1,0,1,0,4,0,6,1,0,0,33,9,9,0,1,1,0,0,21,3,3,0,2,0,2,0,10,1,24,2,1,0,50,3,2,0,29,2,3,0,68,2,26,1,1,0,4,0,16,0,61,3,8,0,3,0,5,0,451,30
"Sex Offenses, Forcible",13,3,1,0,4,0,2,0,10,0,22,1,3,2,1,0,0,0,2,0,2,0,1,0,2,0,11,0,14,0,29,14,13,2,11,1,0,0,21,5,11,2,2,1,3,1,25,12,51,2,1,0,12,3,0,1,28,3,6,1,36,5,14,4,5,0,9,3,10,2,71,23,3,0,5,0,3,0,457,91
Robbery,44,22,0,0,9,3,0,0,14,7,67,10,9,1,0,0,18,13,1,0,4,3,0,0,9,0,30,0,0,0,83,43,4,3,18,0,0,0,20,16,14,0,0,0,13,4,117,32,89,16,1,0,52,16,0,0,35,4,0,2,147,44,79,26,4,0,7,0,25,4,124,45,8,0,4,1,5,0,1054,315
Aggravated Assault,89,17,5,0,18,1,0,1,54,1,149,5,12,4,8,0,41,0,8,0,6,0,1,0,18,1,40,0,14,1,89,30,30,1,50,2,2,0,26,8,19,1,10,1,19,5,235,43,83,5,5,0,88,15,3,0,132,6,29,1,350,36,255,32,19,3,20,1,44,3,138,25,45,1,9,1,12,0,2175,251
Simple Assault/Intimidation,526,88,73,6,169,1,20,2,347,10,1235,29,101,28,45,3,739,14,67,6,58,4,31,2,103,7,201,5,64,2,813,171,201,7,198,9,10,0,776,23,146,5,37,3,159,33,1438,266,881,20,26,2,580,35,30,8,911,13,172,6,1578,340,1333,140,167,26,232,19,507,10,2937,696,177,11,58,16,201,30,17347,2096
Arson,0,0,0,0,2,0,0,0,2,5,6,0,2,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,11,21,3,1,1,0,3,0,0,1,0,0,1,1,6,5,9,1,0,0,2,0,1,0,6,15,2,1,0,1,3,0,65,58
Extortion/Blackmail,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,7,16,1,0,0,0,2,0,0,0,2,14,0,0,1,0,0,0,21,34
