OFFENSE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
MURDER/NONNEG MANSLAUGHTER,1,0,1,0,0,0,0,1,1,3,2,1,10
ABDUCTION/KIDNAPPING,4,1,2,2,2,0,2,4,0,2,1,1,21
FORCIBLE RAPE,0,3,2,1,2,2,1,1,1,4,1,1,19
OTHER FORCIBLE SEX OFFENSES,7,2,5,9,7,7,7,11,5,5,12,3,80
ROBBERY,16,13,12,7,25,15,14,14,11,16,17,14,174
AGGRAVATED ASSAULT,16,15,9,14,16,21,24,16,12,16,9,12,180
SIMPLE ASSAULT/INTIMIDATION,137,142,143,166,163,162,164,181,201,205,160,168,"1,992"
ARSON,2,1,3,3,3,2,4,2,2,3,3,5,33
EXTORTION/BLACKMAIL,0,0,0,0,0,0,0,0,0,0,0,0,0
RESIDENTIAL BURGLARY,44,21,44,40,65,48,61,51,57,58,89,64,642
COMMERCIAL BURGLARY,9,10,10,10,13,8,12,18,8,8,10,11,127
SHOPLIFTING,75,70,98,75,109,101,138,101,95,119,102,99,"1,182"
THEFT FROM BUILDING,8,3,12,7,8,10,14,8,6,8,9,5,98
OTHER LARCENIES,247,187,208,207,200,267,247,274,229,234,229,234,"2,763"
MOTOR VEHICLE THEFT,26,30,52,28,26,43,33,32,25,34,31,35,395
COUNTERFEITING/FORGERY,16,14,16,8,11,28,31,29,35,24,18,15,245
FRAUD,52,33,50,41,36,45,32,32,44,39,32,38,474
EMBEZZLEMENT,9,9,12,13,12,10,10,14,9,9,9,17,133
STOLEN PROPERTY OFFENSES,1,2,6,8,5,5,3,1,2,3,4,2,42
DESTRUCTION/VANDALISM,223,147,196,217,253,240,231,221,188,180,198,170,"2,464"
DRUG/NARCOTIC OFFENSES,93,81,155,69,62,78,86,76,93,72,73,70,"1,008"
NONFORCIBLE SEX OFFENSES,0,1,0,3,0,0,1,0,0,0,1,0,6
PORNOGRAPHY,0,1,3,0,1,0,0,0,0,1,0,0,6
GAMBLING,0,0,1,2,0,0,0,0,0,0,0,0,3
PROSTITUTION,0,5,0,0,0,3,1,1,0,0,0,4,14
BRIBERY,0,0,0,0,0,0,0,0,0,0,0,0,0
WEAPON LAW VIOLATION,43,27,34,33,31,45,37,37,41,24,26,22,400
TOTAL GROUP A OFFENSES,"1,029",818,"1,074",963,"1,050","1,140","1,153","1,125","1,065","1,067","1,036",991,"12,511"
