COURSE,COMPANY,COMMENTS
Survival Spanish,RLS,On Line
Survival Spanish,VCPI,Classroom 30 students
Mastering Performance Leadership,VCPI,Classroom 90 students
Taser Instructor School,TASER,Classroom 30 students
Human Trafficking,VCPI,Classroom 45 students
Legal Updates,RLS,On Line
CPR / Bloodborne Pathogens,NPD,Classroom 400 students
WMP Tactical Commanders Course,SSI,Classroom 45 students
Advanced Interview and Interrogation,VCPI,Classroom 45 students
General Instructors Course,NPD,Classroom 30 students
State and Local Anti-Terrorism,SLATT,Classroom 40 students
Code Enforcement Environmental,NPD,Classroom 40 students
Patrol Drug Interdiction,VCPI,Classroom 40 students
Tactical Leadership,KROLL,Classroom 45 students
Hostage Negotiations,NPD,Classroom 40 students
Leading from the Front – Weapons of Mass Destruction,MSU,Classroom 45 students
Community Policing in African American Communities,VCPI,Classroom 40 students
Advanced Search and Seizure,VCPI,Classroom 45 students
Problem Solving,VCPI,Classroom 30 students
Defensive Driving,NPD,Classroom 30 students
ICS 300 – 400,NPD / FEMA,Classroom 300 students
