,Number of Victims,,,,,,Percent Change,Percent Distribution
,2006,2007,2008,2009,2010,Total,2006-2010,Total
Homicide Offenses ,86,81,84,81,107,439,24.4,0.20%
Murder and Non-negligent Manslaughter ,81,76,77,77,103,414,27.2,0.20%
Negligent Manslaughter ,5,5,6,2,3,21,-40,0.00%
Justifiable Homicide ,,,1,2,1,4,na ,0.00%
Sexual Assault Offenses ,"1,645","1,601","1,698","1,439","1,570","7,953",-4.6,3.10%
Forcible Sexual Assault ,"1,558","1,528","1,614","1,371","1,496","7,567",-4,3.00%
Forcible Rape ,399,416,459,366,404,"2,044",1.3,0.80%
Forcible Sodomy ,206,182,200,198,196,982,-4.9,0.40%
Sexual Assault With An Object ,95,104,96,79,91,465,-4.2,0.20%
Forcible Fondling ,858,826,859,728,805,"4,076",-6.2,1.60%
Non-Forcible Sexual Assault ,87,73,84,68,74,386,-14.9,0.20%
Incest ,32,26,31,20,26,135,-18.8,0.10%
Statutory Rape ,55,47,53,48,48,251,-12.7,0.10%
Robbery ,129,125,115,99,118,586,-8.5,0.20%
Assault Offenses ,"46,848","48,905","49,362","49,144","51,256","245,515",9.4,95.80%
Aggravated Assault ,"2,690","2,595","2,494","2,495","2,504","12,778",-6.9,5.00%
Simple Assault ,"41,578","43,594","44,235","44,231","46,141","219,779",11,85.80%
Intimidation (includes Stalking) ,"2,580","2,716","2,633","2,418","2,611","12,958",1.2,5.10%
Kidnapping/Abduction ,379,407,393,358,243,"1,780",-35.9,0.70%
Total ,"49,087","51,119","51,652","51,121","53,294","256,273",8.6,100.00%
