,Number of Victims,,,,,,Percent Change,Percent Distribution
,"2,006","2,007","2,008","2,009","2,010",Total,2006-2010,Total
Homicide Offenses,7,9,10,5,8,39,14.3,1.00%
Murder and Non-negligent Manslaughter,7,9,10,5,8,39,1430.00%,1.00%
Negligent Manslaughter,,,,,,,na,0.00%
Justifiable Homicide,,,,,,,na,0.00%
Sexual Assault Offenses,4,2,2,3,3,14,-25,0.40%
Forcible Sexual Assault,4,2,2,2,3,13,-25,0.30%
Forcible Rape,2,,1,,1,4,-50,0.10%
Forcible Sodomy,,,,1,1,2,na,0.10%
Sexual Assault With An Object,1,,,,,1,-100,0.00%
Forcible Fondling,1,2,1,1,1,6,0.00%,0.20%
Non-Forcible Sexual Assault,,,,1,,1,na,0.00%
Incest,,,,1,,1,na,0.00%
Statutory Rape,,,,,,,na,0.00%
Robbery,10,8,8,6,6,38,-40,1.00%
Assault Offenses,649,768,775,790,888,"3,870",3680.00%,97.50%
Aggravated Assault,57,52,39,43,58,249,180.00%,6.30%
Simple Assault,537,652,662,680,742,"3,273",3820.00%,82.40%
Intimidation (includes Stalking),55,64,74,67,88,348,6000.00%,8.80%
Kidnapping/Abduction,2,2,,3,3,10,5000.00%,0.30%
Total,672,789,795,807,908,"3,971",3510.00%,100.00%
