,Number of Domestic Violence Victims,,,,,"Number of Domestic Violence Victims Per 1,000 Population",,,,,Rate Percentage Change
Locality,"2,006","2,007","2,008","2,009","2,010",2006,2007,2008,2009,2010,2006-2010
Accomack Co,338,257,268,277,249,8.7,6.6,6.8,7,7.5,-13.8
Essex Co,54,42,57,57,61,5.1,3.9,5.3,5.2,5.5,780.00%
King George Co,280,205,160,164,158,13.2,9.1,6.9,6.9,6.7,-49.2
Lancaster Co,17,34,26,48,26,1.4,2.9,2.2,4.1,2.3,6430.00%
Middlesex Co,54,46,19,34,48,5.3,4.5,1.8,3.3,4.4,-17
Northampton Co,22,53,46,35,47,1.7,4,3.5,2.6,3.8,12350.00%
Northumberland Co,34,38,46,57,33,2.6,2.9,3.5,4.3,2.7,380.00%
Richmond Co,44,38,40,32,29,4.7,3.9,4.1,3.3,3.1,-34
Westmoreland Co,119,91,81,71,84,7.1,5.3,4.7,4.1,4.8,-32.4
Total,962,804,743,775,735,6.6,5.5,5,5.1,5.2,-21.2
