,All Victims of Violence,,,,,,Domestic Violence Victims,,,,,,Percent Domestic,,,,,
,2006,2007,2008,2009,2010,Total,2006,2007,2008,2009,2010,Total,2006,2007,2008,2009,2010,Total
Most Serious Offense,,,,,,,,,,,,,,,,,,
Homicide Offenses,421,438,399,385,395,"2,038",86,81,84,81,107,439,20.40%,18.50%,21.10%,21.00%,27.10%,21.50%
Murder and Non-negligent Manslaughter,397,407,369,349,369,"1,891",81,76,77,77,103,414,20.4,18.7,20.9,22.1,27.9,21.9
Negligent Manslaughter,19,18,20,17,13,87,5,5,6,2,3,21,26.3,27.8,30,11.8,23.1,24.1
Justifiable Homicide,5,13,10,19,13,60,0,0,1,2,1,4,0,0,10,10.5,7.7,6.7
Sexual Assault Offenses,"5,665","5,422","5,407","4,914","5,098","26,506","1,645","1,601","1,698","1,439","1,570","7,953",29.00%,29.50%,31.40%,29.30%,30.80%,30.00%
Forcible Sexual Assault,"5,415","5,206","5,179","4,702","4,895","25,397","1,558","1,528","1,614","1,371","1,496","7,567",28.8,29.4,31.2,29.2,30.6,29.8
Forcible Rape,"1,760","1,754","1,760","1,516","1,543","8,333",399,416,459,366,404,"2,044",22.7,23.7,26.1,24.1,26.2,24.5
Forcible Sodomy,608,514,527,529,486,"2,664",206,182,200,198,196,982,33.9,35.4,38,37.4,40.3,36.9
Sexual Assault With An Object,311,318,314,239,284,"1,466",95,104,96,79,91,465,30.5,32.7,30.6,33.1,32,31.7
Forcible Fondling,"2,736","2,620","2,578","2,418","2,582","12,934",858,826,859,728,805,"4,076",31.4,31.5,33.3,30.1,31.2,31.5
Non-Forcible Sexual Assault,250,216,228,212,203,"1,109",87,73,84,68,74,386,34.8,33.8,36.8,32.1,36.5,34.8
Incest*,38,35,36,23,27,159,32,26,31,20,26,135,84.2,74.3,86.1,87,96.3,84.9
Statutory Rape,212,181,192,189,176,950,55,47,53,48,48,251,25.9,26,27.6,25.4,27.3,26.4
Robbery,"8,746","8,833","8,815","7,512","6,836","40,742",129,125,115,99,118,586,1.50%,1.40%,1.30%,1.30%,1.70%,1.40%
Assault Offenses,"106,561","109,539","109,126","108,244","111,274","544,744","46,848","48,905","49,362","49,144","51,256","245,515",44.00%,44.60%,45.20%,45.40%,46.10%,45.10%
Aggravated Assault,"11,631","11,089","10,430","9,908","9,619","52,677","2,690","2,595","2,494","2,495","2,504","12,778",23.1,23.4,23.9,25.2,26,24.3
Simple Assault,"82,415","85,497","86,494","86,209","89,064","429,679","41,578","43,594","44,235","44,231","46,141","219,779",50.4,51,51.1,51.3,51.8,51.1
Intimidation,"12,515","12,953","12,202","12,127","12,591","62,388","2,580","2,716","2,633","2,418","2,611","12,958",20.6,21,21.6,19.9,20.7,20.8
Kidnapping/Abduction,"1,007","1,029","1,009",882,571,"4,498",379,407,393,358,243,"1,780",37.60%,39.60%,38.90%,40.60%,42.60%,39.60%
Total,"122,400","125,261","124,756","121,937","124,174","618,528","49,087","51,119","51,652","51,121","53,294","256,273",40.10%,40.80%,41.40%,41.90%,42.90%,41.40%
