OTHER AGENCIES,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
"Alcoholic Beverage Control, Department of ",,,226,0,0,0,0,0,1,3,0,0,0,64,0,27,47,8,1,3,78,0,0,7,0,0,2
"Capitol Police, Division of ",,,75,0,0,0,0,0,0,4,0,0,1,50,0,0,1,0,0,19,0,0,0,0,0,0,0
"Conservation & Recreation, Department of ",,,68,0,0,0,1,0,0,3,0,0,3,29,0,1,0,0,0,22,13,0,0,0,0,0,2
"Game & Inland Fisheries 3, Department of ",,,140,0,0,0,0,0,0,3,0,0,1,2,0,0,1,0,1,0,22,0,0,0,0,0,116
"Motor Vehicles, Department of ",,,794,0,0,0,0,0,0,3,0,0,0,9,32,513,231,33,47,1,1,0,0,0,0,7,0
Metropolitan Washington Airports Authority ,,,751,0,1,1,0,0,4,41,0,0,2,336,63,9,16,4,10,199,30,0,0,0,0,0,57
Norfolk Airport Authority ,,,67,0,0,0,0,0,0,2,0,0,0,36,2,0,0,0,0,11,10,0,0,0,0,0,8
Richmond International Airport ,,,113,0,0,0,0,0,0,5,0,0,1,39,24,3,12,1,0,13,8,0,0,0,0,0,7
Southside Virginia Training Center ,,,97,0,0,0,0,0,1,77,0,0,0,18,0,0,0,0,0,2,1,0,0,0,0,0,0
Virginia Port Authority ,,,8,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0
