Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,4,1,0,0,0,0,0,0,0,0,4,0,0,0,4,0,10,1,0,0,0,0,0,0,2,0,3,0,1,0,13,2,0,0,2,0,0,0,3,0,1,0,0,0,0,0,11,4,13,1,0,0,7,0,1,0,12,0,1,0,47,0,2,1,0,0,1,0,6,0,22,2,0,0,0,0,0,0,170,12
Manslaughter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Kidnaping,4,0,3,0,3,0,0,0,21,0,25,0,2,0,0,0,8,0,0,0,1,0,0,0,1,0,12,0,2,0,32,3,4,0,0,0,0,0,21,0,0,0,5,0,0,0,23,1,26,2,0,0,25,1,2,0,32,1,3,0,65,1,14,1,4,0,3,0,24,6,45,7,9,0,5,0,3,0,427,23
"Sex Offenses, Forcible",3,0,1,0,5,0,2,0,11,2,23,3,1,2,2,0,5,0,1,1,1,0,2,0,1,1,13,2,0,0,36,16,3,0,9,1,2,0,14,5,8,0,0,1,1,0,31,7,28,2,2,1,11,2,2,0,18,1,8,1,44,11,21,2,3,0,11,1,18,2,62,15,9,0,0,3,7,0,419,82
Robbery,48,17,3,0,6,0,0,0,32,3,33,5,13,0,1,0,20,5,3,0,5,0,2,1,4,0,8,0,1,0,75,24,8,3,9,1,0,0,18,6,16,0,5,0,5,1,68,29,51,6,2,0,37,8,2,0,75,15,2,0,173,14,69,11,7,0,8,0,20,2,120,46,13,3,11,3,6,0,979,203
Aggravated Assault,65,8,10,0,19,3,5,0,49,2,112,10,17,2,7,0,30,2,12,2,9,0,3,0,4,3,49,0,11,1,102,24,45,1,48,1,0,0,35,6,39,4,2,0,15,1,202,23,78,5,3,0,98,10,6,2,116,1,24,0,393,13,239,15,11,2,10,1,55,9,123,24,11,0,13,0,14,0,2084,175
Simple Assault/Intimidation,443,97,71,6,182,8,19,2,415,0,1209,25,137,25,86,3,572,10,81,12,62,2,32,1,101,4,269,7,75,10,937,209,222,19,196,13,9,0,756,49,174,8,47,2,185,24,1227,201,989,10,21,4,520,32,30,9,983,9,143,2,1880,325,1283,108,137,24,200,13,572,6,2873,520,190,14,85,11,236,26,17649,1850
Arson,0,2,0,0,2,2,0,0,0,0,4,0,1,6,1,0,0,0,0,2,1,0,0,0,1,2,0,0,0,0,5,2,1,0,0,0,0,0,3,1,1,3,0,0,0,1,2,14,4,0,0,1,0,1,0,3,2,0,0,0,14,4,8,3,1,3,1,0,7,1,9,6,3,0,0,0,3,0,74,57
Extortion/Blackmail,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,1,0,2,0,0,0,0,0,7,10,0,0,0,0,0,0,21,29
