Drug Type,Under 10,10--12,13--14,15,16,17,18,19,20,21,22,23,24,25 29,30 34,35 39,40 44,45 49,50 54,55 59,60 64,65 & Over,Total
Crack Cocaine ,0,0,1,6,15,24,92,97,91,102,120,113,105,507,340,231,297,257,165,68,28,6,2665
Cocaine ,0,0,2,3,8,17,53,82,77,87,111,127,119,488,324,248,191,186,120,38,25,9,2315
Hashish ,0,0,0,0,0,1,1,1,1,2,1,2,2,6,1,1,1,3,2,0,0,0,25
Heroin ,0,0,0,1,2,6,13,31,30,30,45,47,56,213,144,122,88,76,62,34,7,5,1012
Marijuana ,3,24,219,343,497,905,2019,2031,1663,1414,1192,1049,854,3103,1564,974,705,561,370,164,61,24,19739
Morphine ,0,0,0,1,0,4,5,1,3,2,4,2,5,13,13,10,7,5,4,3,2,7,91
Opium ,0,1,0,0,1,1,0,1,1,4,0,0,1,6,3,0,5,7,3,1,2,0,37
Other Narcotic ,0,0,5,10,23,14,39,59,43,53,44,59,35,226,184,169,122,109,70,35,30,11,1340
LSD ,0,0,0,0,0,0,2,1,2,3,0,0,1,1,2,0,1,0,0,0,0,0,13
PCP ,0,0,0,0,0,0,3,3,1,1,1,1,3,13,12,3,6,2,2,1,1,0,53
Other Hallucinogens ,0,0,0,1,1,1,3,14,9,7,5,7,1,8,7,4,1,1,0,0,0,0,70
Amphetamines/Methamphetamines ,0,1,6,2,2,10,13,13,14,13,22,13,33,92,66,47,47,47,13,8,0,1,463
Other Stimulants ,0,0,2,1,1,6,7,5,4,4,4,2,2,11,7,6,4,1,2,0,0,2,71
Barbiturates ,0,0,0,0,1,3,2,1,1,2,0,1,3,7,6,3,4,5,1,0,0,2,42
Other Depressants ,0,1,2,0,1,4,3,9,5,3,3,2,1,22,19,12,13,9,3,6,0,0,118
Other Drugs ,0,1,15,20,29,19,31,24,17,32,20,24,33,154,97,79,62,74,38,8,8,3,788
Unknown Drug Type ,0,2,34,40,76,107,250,253,220,173,176,166,152,568,379,274,220,184,117,58,13,6,3468
Total ,3,30,286,428,657,1122,2536,2626,2182,1932,1748,1615,1406,5438,3168,2183,1774,1527,972,424,177,76,32310
