Type Injury Sustained By Violent Offense,Aggravated Assault*,Forcible Rape,Forcible Sodomy,Sexual Assault with an Object,Forcible Fondliing,Robbery,
None ,2953,1034,482,196,2186,5633,
Apparent Broken Bones ,565,2,1,,1,0,36
Possible Internal Injury ,469,109,23,15,29,58,
Severe Laceration ,2231,8,2,,0,1,171
Apparent Minor Injury ,2712,324,66,47,152,1534,
Other Major Injury ,1420,48,9,,7,50,156
Loss of Teeth ,144,0,0,,0,0,13
Unconsciousness ,217,8,0,,0,2,36
Total with Injury ,7758,499,101,70,234,2004,
Note:,"*Assaults are classified as ‘aggravated’ if a weapon is used, even if there is no injury to the victim. All other violent offenses include attempts.",,,,,,
,(Up to 5 injuries can be reported for each victim.),,,,,,
