Offenses,Under 10,10--12,13--14,15,16,17,Total
Murder/Nonnegligent Manslaughter ,0,0,3,1,5,7,16
Negligent Manslaughter ,0,0,0,0,0,0,0
Kidnaping/Abduction ,0,3,4,8,11,17,43
Forcible Rape ,0,2,6,6,10,20,44
Forcible Sodomy ,0,7,30,4,4,8,53
Sexual Assault with an Object ,0,0,8,0,4,2,14
Forcible Fondling ,0,21,53,28,14,15,131
Robbery ,0,2,31,55,95,142,325
Aggravated Assault ,4,37,97,82,101,138,459
Simple Assault ,31,468,1214,896,960,978,4547
Intimidation ,0,22,60,29,45,35,191
Arson ,2,25,43,29,11,12,122
Extortion/Blackmail ,1,1,9,10,11,3,35
Burglary/Breaking & Entering ,9,48,180,187,289,305,1018
Pocket Picking ,0,3,0,4,4,8,19
Purse Snatching ,0,0,2,3,3,3,11
Shoplifting ,2,140,573,613,742,898,2968
Theft from Building ,0,20,43,49,48,50,210
Theft from Coin-Operated Device ,0,0,0,0,0,1,1
Theft from Motor Vehicle ,0,0,19,22,37,75,153
Theft of Motor Vehicle Parts ,0,0,2,1,5,12,20
All Other Larceny ,6,144,470,497,493,655,2265
Motor Vehicle Theft ,0,8,31,37,64,96,236
Counterfeiting/Forgery ,0,1,9,8,13,33,64
False Pretenses/Swindle/Confidence Game ,0,4,12,12,15,21,64
Credit Card/Teller Machine Fraud ,0,1,3,6,8,13,31
Impersonation ,0,0,5,1,5,11,22
Welfare Fraud ,0,0,0,0,0,0,0
Wire Fraud ,0,0,0,0,0,0,0
