Locations,Bribery,Burglary,Counterfeit/Forgery,Destruction/Vandalism,Embezzlement,Extortion,Fraud,Stolen Property
Air/Bus/Train Terminal ,0,12,10,114,6,0,40,4
Bank/Savings and Loan ,0,22,1085,85,66,3,1549,7
Bar/Night Club ,0,64,47,269,8,0,796,2
Church/Synagogue/Temple ,0,363,9,700,6,1,27,3
Commercial/Office Bldg ,0,1240,188,2232,239,7,592,22
Construction Site ,0,215,3,412,4,0,12,0
Convenience Store ,1,536,963,735,199,1,1082,31
Department/Discount Store ,0,169,598,524,756,1,1566,78
Drug Store/Dr Office/Hospital ,0,182,349,300,37,2,803,6
Field/Woods ,0,34,12,929,9,0,47,14
Government/Public Building ,9,137,536,769,43,5,342,14
Grocery/Supermarket ,0,77,513,276,108,0,678,19
Highway/Road/Alley ,7,66,557,12939,40,8,1467,572
Hotel/Motel ,0,148,38,623,23,5,199,11
Jail/Prison ,0,9,101,79,5,0,70,4
Lake/Waterway ,0,9,2,84,0,0,8,1
Liquor Store ,0,17,24,22,6,0,14,2
Parking Lot/Garage ,2,337,119,14158,46,4,445,260
Rental Storage Facility ,0,212,3,257,7,0,77,12
Residence/Home ,4,24160,757,37345,241,59,8483,348
Restaurant ,0,447,429,785,388,2,804,11
School/College ,0,561,100,2845,28,5,177,63
Service/Gas Station ,0,257,190,401,70,0,414,14
Specialty Store ,0,721,278,981,299,3,980,60
Other/Unknown ,0,1246,560,5300,272,11,3839,207
Total ,23,31241,7471,83164,2906,117,24511,1765
"Location of offense for arson, larceny and motor vehicle theft can be found in the sections pertaining to these individual offenses. Location of offense for robbery is listed in the section on Violent Crime.",,,,,,,,
