Relationship of Victim to Offender (may include multiple relationships),Number
Spouse,432
Common-Law Spouse,36
Parent,163
Sibling,223
Child,208
Grandparent,10
Grandchild,11
In-Law,50
Stepparent,47
Stepchild,37
Stepsibling,6
Other Family Member,230
Victim Was Offender,511
Acquaintance,2627
Friend,431
Neighbor,142
Babysittee (the baby),10
Boyfriend/Girlfriend,1034
Child of Boyfriend/Girlfriend,39
Homosexual Relationship,40
Ex-Spouse,28
Employee,14
Employer,9
Otherwise Known,1052
Relationship Unknown,3336
Victim Was Stranger,2147
