Date,Offense,Street,Sub,Zip,Area
3/11/2003,DRIVING UNDER THE INFLUENCE OF ALCOHOL,AIRPORT ROAD,14,23188,300
3/29/2003,DRIVING UNDER THE INFLUENCE OF ALCOHOL,AIRPORT ROAD,14,23188,300
3/11/2003,POSSESSION OF MARIJUANA,AIRPORT ROAD,14,23188,300
3/29/2003,REFUSE BLOOD/BREATH TEST,AIRPORT ROAD,14,23188,300
3/5/2003,"ASSAULT, SIMPLE, DOMESTIC",ALABAMA DRIVE,190,23188,300
12/7/2003,"DAMAGE PROPERTY, PRIVATE",ALABAMA DRIVE,190,23188,300
11/28/2003,"DAMAGE PROPERTY, PRIVATE",ALABAMA LANE & CHAPEL HILL LANE,190,23188,300
10/15/2003,"BURGLARY, RESIDENTIAL",ANNS COURT,141,23188,300
10/15/2003,GRAND LARCENY,ANNS COURT,141,23188,300
11/7/2003,"ASSAULT, SIMPLE, DOMESTIC",BARLOW ROAD,189,23188,300
9/20/2003,"ASSAULT, SIMPLE, DOMESTIC",BARLOW ROAD,189,23188,300
1/21/2003,"BURGLARY, RESIDENTIAL",BARLOW ROAD,189,23188,300
1/21/2003,"DAMAGEDAMAGE PROPERTY, PRIVATE",BARLOW ROAD,189,23188,300
11/1/2003,GRAND LARCENY,BARLOW ROAD,189,23188,300
7/22/2003,"LARCENY,FROM MOTOR VEHICLE",BARLOW ROAD,189,23188,300
1/21/2003,PETIT LARCENY,BARLOW ROAD,189,23188,300
7/4/2003,TRESPASSING,BARLOW ROAD,189,23188,300
9/17/2003,TRESPASSING,BARLOW ROAD,189,23188,300
6/27/2003,"DAMAGE PROPERTY, PRIVATE",CARTERS NECK ROAD,189,23188,300
5/13/2003,RUNAWAY JUVENILE,CARTERS NECK ROAD,189,23188,300
12/29/2003,"DAMAGE PROPERTY, PRIVATE",CLARK LANE & MOORETOWN ROAD,14,23188,300
12/29/2003,GRAND LARCENY,CLARK LANE & MOORETOWN ROAD,14,23188,300
6/5/2003,ABUSE AND NEGLECT OF CHILDREN,EAST ROCHAMBEAU DR,14,23188,300
6/2/2003,CITIZEN REQUESTED ASSISTANCE,EAST ROCHAMBEAU DR,14,23188,300
12/6/2003,CITIZEN REQUESTED ASSISTANCE,EAST ROCHAMBEAU DR,14,23188,300
6/13/2003,CITIZEN REQUESTED ASSISTANCE,EAST ROCHAMBEAU DR,14,23188,300
12/6/2003,CITIZEN REQUESTED ASSISTANCE,EAST ROCHAMBEAU DR,14,23188,300
6/30/2003,CONTRIBUTING TO THE DELINQUENCY OF A MINOR,EAST ROCHAMBEAU DR,14,23188,300
6/9/2003,"DAMAGE PROPERTY, PRIVATE",EAST ROCHAMBEAU DR,14,23188,300
6/28/2003,"DAMAGE PROPERTY, PRIVATE",EAST ROCHAMBEAU DR,14,23188,300
5/2/2003,"DAMAGE PROPERTY, PRIVATE",EAST ROCHAMBEAU DR,14,23188,300
10/29/2003,DRIVING W/SUSPENDED OR REVOKED LICENSE,EAST ROCHAMBEAU DR,14,23188,300
11/29/2003,DRUNK IN PUBLIC,EAST ROCHAMBEAU DR,14,23188,300
7/7/2003,EMBEZZLEMENT <$200,EAST ROCHAMBEAU DR,14,23188,300
12/31/2003,EMBEZZLEMENT >=$200,EAST ROCHAMBEAU DR,14,23188,300
12/31/2003,EMBEZZLEMENT >=$200,EAST ROCHAMBEAU DR,14,23188,300
2/19/2003,EMBEZZLEMENT >=$200,EAST ROCHAMBEAU DR,14,23188,300
3/26/2003,"FORGING, UTTERING",EAST ROCHAMBEAU DR,14,23188,300
3/21/2003,"FRAUD, ALL OTHERS",EAST ROCHAMBEAU DR,14,23188,300
8/20/2003,GRAND LARCENY,EAST ROCHAMBEAU DR,14,23188,300
2/28/2003,GRAND LARCENY,EAST ROCHAMBEAU DR,14,23188,300
2/22/2003,GRAND LARCENY,EAST ROCHAMBEAU DR,14,23188,300
3/14/2003,GRAND LARCENY,EAST ROCHAMBEAU DR,14,23188,300
