Type of Weapon/Force,Murder/Nonnegligent Manslaughter,Aggravated Assault,Forcible Rape,Forcible Sodomy,Sexual Assault with an Object,Forcible Fondling,Robbery
Firearm (type unknown),85,535,7,0,1,3,683
Automatic Firearm,6,20,2,0,0,0,60
Handgun,117,821,22,5,3,7,2810
Automatic Handgun,11,84,0,0,0,0,364
Rifle,7,52,0,0,0,1,52
Automatic Rifle,0,3,0,0,0,0,8
Shotgun,8,75,0,0,0,0,204
Automatic Shotgun,0,2,0,0,0,0,2
Other Firearm,7,125,0,0,0,0,64
Other Auto. Firearm,0,0,0,0,0,0,5
Knife/Cutting Instr.,46,2144,52,13,1,6,630
Blunt Object,15,1333,8,2,3,1,202
Motor Vehicle,6,380,0,0,0,0,6
Personal Weapon,26,2791,1115,336,211,1643,1989
Poison,0,23,1,0,0,0,1
Explosives,0,3,0,0,0,0,4
Fire/Incend. Device,3,30,0,0,0,0,3
Drugs/Narc./Sleep Pills,2,2,13,0,1,2,0
Asphyxiation,1,3,2,0,0,0,1
Other,6,1185,130,45,32,161,256
Unk/Not Reported,20,421,378,149,81,572,397
