Offenses,Number of Arrests,Percent Distribution,"Rate per 100,000 Inhabitants"
Murder/Nonnegligent Manslaughter,275,0.21,3.57
Negligent Manslaughter  ,14,0.01,0.18
Kidnaping/Abduction,947,0.72,12.28
Forcible Rape  ,368,0.28,4.77
Forcible Sodomy,187,0.14,2.42
Sexual Assault with an Object  ,99,0.07,1.28
Forcible Fondling of a Child,647,0.49,8.39
Robbery,2093,1.58,27.14
Aggravated Assault,4802,3.64,62.27
Simple Assault  ,36550,27.68,473.93
Intimidation,1758,1.33,22.8
Arson,380,0.29,4.93
Extortion/Blackmail  ,46,0.03,0.6
Burglary/Breaking & Entering  ,4491,3.4,58.23
Pocket Picking  ,224,0.17,2.9
Purse Snatching  ,30,0.02,0.39
Shoplifting  ,10854,8.22,140.74
Theft from Building  ,724,0.55,9.39
Theft from Coin-Operated Machine or Device,36,0.03,0.47
Theft from Motor Vehicle,426,0.32,5.52
Theft of Motor Vehicle Parts or Accessories  ,129,0.1,1.67
All Other Larceny,11226,8.5,145.56
Motor Vehicle Theft  ,1044,0.79,13.54
Counterfeiting/Forgery,2332,1.77,30.24
False Pretenses/Swindle/Confidence Game  ,2509,1.9,32.53
Credit Card/Automatic Teller Machine Fraud  ,449,0.34,5.82
Impersonation,616,0.47,7.99
Welfare Fraud  ,37,0.03,0.48
Wire Fraud  ,12,0.01,0.16
Embezzlement,1933,1.46,25.06
Stolen Property Offenses  ,1062,0.8,13.77
Destruction/Damage/Vandalism of Property  ,5097,3.86,66.09
Drug/Narcotic Violations  ,35196,26.65,456.37
Drug Equipment Violations  ,324,0.25,4.2
Incest,10,0.01,0.13
Statutory Rape  ,119,0.09,1.54
Pornography/Obscene Material  ,100,0.08,1.3
Betting/Wagering  ,85,0.06,1.1
Operating/Promoting/Assisting Gambling,28,0.02,0.36
Gambling Equipment Violations,85,0.06,1.1
Sports Tampering  ,,,
Prostitution  ,489,0.37,6.34
Assisting or Promoting Prostitution  ,160,0.12,2.07
Bribery  ,9,0.01,0.12
Weapon Law Violations  ,4059,3.07,52.63
TOTAL,132061,100,1712.39
