Relationship of Victim to Offender by Percentage,Percentage
Spouse,1.8
Common-Law Spouse,0.2
Parent,0.6
Sibling,1.2
Child,1.7
Grandparent,<.1
Grandchild,0.3
In-Law,0.2
Stepparent,0.2
Stepchild,0.5
Stepsibling,0.2
Other Family Member,1.9
Victim Was Offender,1.6
Acquaintance,14.2
Friend,2.7
Neighbor,0.7
Babysittee (the baby),0.1
Boyfriend/Girlfriend,4
Child of Boyfriend/Girlfriend,0.3
Homosexual Relationship,0.1
Ex-Spouse,0.1
Employee,0.1
Employer,0.1
Otherwise Known,6.8
Stranger,26.2
Unknown,34.2
