Age,Victim,,Offender,,
,Male,Female,Male,Female,Unknown
Under 10,5,52,8,,
10--12,2,88,12,,
13--14,1,178,43,1,
15,,104,34,,
1,1,106,62,1,
17,,90,72,1,
18,,124,90,,2
19,,81,85,2,
20,1,76,64,,
21,1,70,77,,
22,,70,74,,
23,,48,76,,
24,,48,56,1,
25-29,1,181,233,,
30-34,,119,146,3,1
35-39,,98,170,6,
40-44,1,84,115,,1
45-49,2,59,76,,1
50-54,1,23,56,1,1
55-59,,14,19,,
60-64,1,5,14,,
65 & Over,,12,23,,
Unknown,,12,157,,60
TOTAL,17,1742,1762,16,66
White,14,1205,941,8,2
Black,3,501,746,8,1
Am. Ind. or Alaskan Native,,2,2,,
Asian or Pacific Islander,,11,15,,
Unknown,,23,58,,63
TOTAL,17,1742,1762,16,66
