Offenses,Under 10,10--12,13--14,15,16,17,Total
Murder/Nonnegligent Manslaughter,0,0,2,1,4,12,19
Negligent Manslaughter,0,0,1,0,0,1,2
Kidnaping/Abduction,0,3,9,13,12,20,57
Forcible Rape,0,7,8,6,8,14,43
Forcible Sodomy,1,13,29,7,13,11,74
Sexual Assault with an Object,0,1,8,1,1,2,13
Forcible Fondling,8,32,53,16,15,18,142
Robbery,0,16,72,113,157,166,524
Aggravated Assault,0,40,137,100,154,177,608
Simple Assault,51,454,1355,1006,1055,896,4817
Intimidation,0,36,78,44,50,45,253
Arson,15,49,71,36,25,21,217
Extortion/Blackmail,0,3,9,5,6,1,24
Burglary/Breaking & Entering,7,56,296,266,287,332,1244
Pocket Picking,0,1,4,8,10,3,26
Purse Snatching,0,0,1,0,2,0,3
Shoplifting,10,148,562,448,524,591,2283
Theft from Building,0,17,61,46,40,33,197
Theft from Coin-Operated Device,0,0,0,1,1,0,2
Theft from Motor Vehicle,1,1,14,7,22,44,89
Theft of Motor Vehicle Parts,0,2,2,4,6,7,21
All Other Larceny,8,144,452,386,468,524,1982
Motor Vehicle Theft,1,5,39,60,72,67,244
Counterfeiting/Forgery,1,1,5,6,16,29,58
False Pretenses/Swindle/Confidence Game,1,1,9,9,21,23,64
Credit Card/Teller Machine Fraud,0,1,2,2,3,7,15
Impersonation,0,0,2,2,10,12,26
Welfare Fraud,0,0,0,0,0,0,0
Wire Fraud,0,0,0,0,0,0,0
