Date ,Offense ,Street ,Sub ,Zip ,Area
8/4/2003,PETIT LARCENY ,VILLAGE AVENUE ,216,23693,100
3/20/2003,"BURGLARY, RESIDENTIAL ",ABERFELDY WAY ,203,23693,100
3/20/2003,"DAMAGE PROPERTY, PRIVATE ",ABERFELDY WAY ,203,23693,100
12/17/2003,"DAMAGE PROPERTY, PRIVATE ",ALFRED COURT ,279,23693,
6/13/2003,DUMPING TRASH ON HIGHWAY OR PRIVATE PROPERTY ,ALFRED COURT ,279,23693,
12/28/2003,GRAND LARCENY ,AMELIA COURT ,112,23693,100
5/19/2003,"DAMAGE PROPERTY, PRIVATE ",AMERSHAM DRIVE ,246,23693,100
10/16/2003,VIOLATION OF PROTECTIVE ORDER ,ANDOVER COURT ,192,23693,100
3/5/2003,CITIZEN REQUESTED ASSISTANCE ,APPALOOSA DRIVE ,246,23693,100
6/30/2003,"DAMAGE PROPERTY, PRIVATE ",APPALOOSA DRIVE ,246,23693,100
11/21/2003,"DAMAGE PROPERTY, PRIVATE ",APPLE LANE ,197,23693,100
9/28/2003,CITIZEN REQUESTED ASSISTANCE ,AQUIA TURN ,174,23693,100
11/26/2003,CITIZEN REQUESTED ASSISTANCE ,AQUIA TURN ,174,23693,100
5/20/2003,DISCHARGE FIREARM OR MISSILE IN/AT OCCUPIED BLDG ,ARABIAN CIRCLE ,246,23693,100
5/20/2003,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",ARABIAN CIRCLE ,246,23693,100
5/12/2003,RECOVERED VEHICLE-STOLEN OTHER JURISDICTION ,ASCOT DRIVE ,246,23693,100
3/9/2003,RUNAWAY JUVENILE ,BAY BERRY ,184,23693,100
11/27/2003,ANNOYING PHONE CALLS ,BAYBERRY LANE ,184,23693,100
9/12/2003,FORGERY BY CHECK ,BAYBERRY LANE ,184,23693,100
9/12/2003,"FRAUD, ALL OTHERS ",BAYBERRY LANE ,184,23693,100
5/11/2003,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGE ,BAYBERRY LANE ,184,23693,100
4/25/2003,GRAND LARCENY ,BEECHWOOD LANE ,184,23693,100
