Drug Type,Under 10,10--12,13--14,15,16,17,18,19,20,21,22,23,24,25 29,30 34,35 39,40 44,45 49,50 54,55 59,60 64,65 & Over,Total
“Crack” Cocaine ,0,1,17,25,48,70,174,234,216,195,213,198,190,641,520,541,569,404,159,75,18,15,4523
Cocaine ,0,0,4,11,19,34,96,94,135,126,128,112,137,443,378,363,316,194,98,33,10,5,2736
Hashish ,0,0,0,0,0,0,1,2,2,1,0,0,0,6,2,1,4,0,0,0,0,0,19
Heroin ,0,0,1,2,0,8,19,25,23,32,18,28,20,124,106,84,84,72,31,13,1,1,692
Marijuana ,3,25,249,352,525,841,1547,1508,1286,1068,973,759,671,1954,1063,824,700,421,163,74,25,12,15043
Morphine ,0,0,0,0,0,1,0,0,1,1,3,2,1,2,7,5,2,4,2,2,0,1,34
Opium ,0,0,0,1,0,0,2,1,1,0,2,0,0,3,2,4,2,4,2,0,0,0,24
Other Narcotic ,0,2,12,8,4,11,18,22,15,18,24,23,22,99,78,70,78,51,95,4,7,0,661
LSD ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PCP ,0,0,0,0,0,0,0,1,2,0,1,0,1,3,3,0,0,1,0,0,0,0,12
Other Halucinogens ,0,0,0,0,1,0,3,6,10,2,5,1,0,8,4,0,1,1,0,0,0,0,42
Amphetamines/ Methamphetamines ,0,1,2,4,3,6,8,20,17,21,32,21,31,94,98,81,47,42,10,1,1,1,541
Other Stimulants ,0,0,5,7,4,2,1,6,5,0,2,1,2,6,4,2,5,1,0,0,0,0,53
Barbituates ,0,0,0,0,0,0,2,0,4,0,0,0,1,1,1,4,8,0,1,0,0,0,22
Other Depressants ,0,1,1,0,0,3,1,1,0,2,3,4,1,8,8,6,4,3,4,0,0,0,50
Other Drugs ,1,1,9,11,6,6,9,7,11,10,12,9,9,63,37,49,31,16,80,2,1,2,382
Unknown Drug Type ,0,4,40,47,71,109,220,176,175,166,130,150,126,421,318,290,251,209,82,31,11,7,3034
TOTAL ,4,35,340,468,681,1091,2101,2104,1903,1642,1546,1308,1212,3876,2629,2324,2102,1423,727,235,74,44,27869
