Offenses,Number of Arrests,Percent Distribution,"Rate per 100,000 Inhabitants"
Murder/Nonnegligent Manslaughter,306,0.26,4.1
Negligent Manslaughter,10,0.01,0.13
Kidnapping,868,0.73,11.64
Forcible Rape,382,0.32,5.12
Forcible Sodomy,227,0.19,3.04
Sexual Assault with an Object,81,0.07,1.09
Forcible Fondling of a Child,599,0.5,8.03
Robbery,1638,1.37,21.96
Aggravated Assault,4650,3.9,62.35
Simple Assault,34513,28.92,462.75
Intimidation,1773,1.49,23.77
Arson,310,0.26,4.16
Extortion/Blackmail,43,0.04,0.58
Burglary/Breaking & Entering,3734,3.13,50.07
Pocket-picking,221,0.19,2.96
Purse-snatching,34,0.03,0.46
Shoplifting,11208,9.39,150.28
Theft from Building,627,0.53,8.41
Theft from Coin-Operated Machine or Device,49,0.04,0.66
Theft from Motor Vehicle,531,0.44,7.12
Theft of Motor Vehicle Parts or Accessories,105,0.09,1.41
All Other Larceny,10442,8.75,140.01
Motor Vehicle Theft,1445,1.21,19.37
Counterfeiting/Forgery,2721,2.28,36.48
False Pretenses/Swindle/Confidence Game,2313,1.94,31.01
Credit Card/Automatic Teller Machine Fraud,369,0.31,4.95
Impersonation,336,0.28,4.51
Welfare Fraud,58,0.05,0.78
Wire Fraud,26,0.02,0.35
Embezzlement,1508,1.26,20.22
Stolen Property Offenses,1019,0.85,13.66
Destruction.Damage/Vandalism of Property,4453,3.73,59.71
Drug/Narcotic Violations,27869,23.35,373.66
Drug Equipment Violations,250,0.21,3.35
Incest,17,0.01,0.23
Statutory Rape,135,0.11,1.81
Pornography/Obscene Material,69,0.06,0.93
Betting/Wagering,56,0.05,0.75
Operating/Promoting/Assisting Gambling.,1,0,0.01
Gambling Equipment Violations,5,0.01,0.07
Sports Tampering,4,0,0.05
Prostitution,686,0.57,9.2
Assisting or Promoting Prostitution,81,0.07,1.09
Bribery,12,0.01,0.16
Weapon Law Violations,3550,2.97,47.6
TOTAL,119334,100,1600.05
