Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10,M,1,1,,,1,3
,F,1,4,,,,5
,U,,,,,,
10--14,M,1,3,,,,4
,F,,,,,,
,U,,,,,,
15-19,M,8,22,,,,30
,F,5,3,,,,8
,U,,,,,,
20-24,M,14,57,,,,72
,F,2,7,,,,9
,U,,,,,,
25-29,M,7,35,,,,42
,F,2,7,,1,,10
,U,,,,,,
30-34,M,8,22,,,1,31
,F,8,5,,1,,14
,U,,,,,,
35-39,M,3,8,,,,11
,F,5,4,,1,,10
,U,,,,,,
40-44,M,14,13,,,,27
,F,7,7,,,,14
,U,,,,,,
45-49,M,6,10,,,1,17
,F,1,2,,,,3
,U,,,,,,
50-54,M,8,6,,,1,15
,F,2,3,,,1,6
,U,,,,,,
55-59,M,4,4,,,,8
,F,6,,,,,6
,U,,,,,,
60-64,M,3,1,,,,4
,F,,2,,,,2
,U,,,,,,
65 & Over,M,7,6,,,,13
,F,8,2,,,,10
,U,,,,,1,1
Unknown,M,6,6,,,,12
,F,4,,,,,4
,U,,,,1,,1
TOTAL,M,90,194,,1,4,289
,F,51,46,,3,1,101
,U,,,,1,1,2
