Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,15,0,1,2,2,0,0,0,5,0,3,0,0,0,2,0,17,2,24,0,2,0,9,0,0,0,13,0,0,0,66,1,4,1,0,0,1,0,2,0,12,0,1,0,1,0,0,0,191,6
Manslaughter,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
Kidnaping,1,0,3,0,1,0,0,0,7,0,37,7,1,0,1,0,3,1,0,0,0,0,0,0,2,0,7,0,0,0,38,2,1,0,5,1,0,0,18,0,4,0,1,0,2,0,40,0,63,3,2,0,16,0,2,0,60,3,0,0,91,1,27,0,0,0,2,0,30,0,38,4,4,0,1,0,3,2,511,24
"Sex Offenses, Forcible",5,1,1,1,8,2,4,0,9,0,26,4,5,2,0,0,2,0,1,0,0,0,0,0,4,0,11,0,1,2,20,11,5,0,4,0,0,0,14,4,10,0,1,0,7,0,61,30,41,5,0,0,13,1,0,0,23,3,39,0,48,7,9,1,9,0,9,3,17,0,64,20,5,0,1,0,4,8,481,105
Robbery,30,10,2,0,6,1,0,0,6,0,43,4,12,1,1,0,12,1,3,0,0,0,0,0,8,1,13,0,0,2,50,3,7,0,6,3,1,0,17,1,7,0,1,0,10,1,106,42,77,18,0,0,19,15,0,1,29,4,0,0,188,28,40,15,9,0,2,0,11,1,88,30,0,0,2,0,8,4,814,186
Aggravated Assault,60,15,8,0,40,0,5,1,37,1,160,22,16,5,6,2,27,1,14,2,0,0,2,0,13,1,32,3,7,2,99,12,34,3,27,0,2,0,40,4,27,1,4,0,16,6,264,53,103,20,12,0,118,12,3,1,107,9,0,0,409,28,167,34,16,1,30,5,39,3,118,33,42,0,2,1,11,1,2117,282
Simple Assault/Intimidation,387,73,102,17,163,3,15,1,323,13,1141,61,207,52,44,6,580,10,56,9,0,0,29,7,108,3,180,5,47,4,831,74,215,10,238,0,8,0,755,36,174,1,33,2,215,29,1483,268,848,53,25,6,690,49,20,3,1120,83,0,0,1380,407,578,90,142,11,289,30,467,9,2161,586,242,27,74,8,216,40,15586,2086
Arson,0,2,1,0,0,2,0,0,0,0,3,1,1,5,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,7,18,1,0,1,0,5,1,0,0,4,2,0,0,5,9,8,0,1,0,0,0,0,0,6,29,1,1,1,0,2,9,60,80
Extortion/Blackmail,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,11,0,0,0,0,0,0,11,16
Burglary,31,13,2,3,23,2,2,3,23,9,117,19,19,4,1,2,5,0,7,10,0,0,2,0,4,1,18,0,2,2,82,17,44,2,11,5,7,2,36,7,3,0,4,0,24,15,137,74,79,49,3,0,51,11,13,6,73,11,0,0,152,33,70,21,11,2,9,4,21,1,181,83,11,1,7,0,5,0,1290,412
Larceny,242,84,10,10,120,5,1,5,117,19,777,80,319,176,38,8,299,10,44,32,0,0,46,9,28,1,261,31,76,18,527,217,127,9,46,3,10,0,447,84,66,2,10,5,66,15,549,259,943,161,89,16,206,20,13,10,306,21,0,0,529,64,491,151,84,13,179,49,215,12,1121,565,126,25,39,5,319,175,8886,2369
Motor Vehicle Theft,10,4,1,0,4,0,2,2,1,0,31,6,5,4,3,1,15,0,3,0,0,0,0,0,2,1,0,0,2,0,18,17,6,1,0,0,0,0,0,0,13,0,3,1,1,1,63,50,8,11,0,0,21,22,5,0,1,0,0,0,116,37,44,26,26,4,4,2,0,0,56,34,16,2,6,2,0,0,486,228
Counterfeiting/Forgery,14,0,26,0,46,5,0,0,21,0,89,1,24,0,3,0,6,0,7,0,0,0,3,0,2,0,26,2,11,0,50,1,12,0,5,0,2,0,39,0,13,0,0,0,14,3,72,5,76,1,3,0,65,0,1,0,39,2,0,0,49,1,38,1,43,3,94,1,18,0,124,0,59,1,8,1,5,1,1107,29
Fraud,59,3,13,0,10,1,1,0,24,1,105,0,25,0,2,0,30,1,10,1,0,0,8,0,3,0,16,0,4,0,81,0,40,0,3,0,1,0,62,0,21,1,0,0,13,0,115,3,116,1,3,0,8,0,2,0,44,1,0,0,92,3,71,0,15,0,24,12,49,0,166,1,22,2,14,1,26,2,1298,34
Embezzlement,27,2,4,0,5,0,0,0,13,0,56,0,40,1,1,0,9,0,4,0,0,0,4,0,2,0,29,1,0,0,54,1,14,0,4,0,0,0,12,0,4,0,0,0,12,0,44,2,41,1,0,0,39,0,5,0,10,0,0,0,20,0,28,2,10,1,12,1,11,0,83,8,15,0,3,0,8,1,623,21
Stolen Property,5,2,0,0,6,0,0,0,5,4,43,8,5,7,0,0,2,0,5,1,0,0,0,1,2,0,10,1,2,0,40,4,13,1,4,0,0,0,12,4,3,1,0,0,0,0,41,24,48,8,0,0,36,35,2,0,26,2,0,0,27,2,7,1,3,0,3,0,18,1,45,8,2,1,0,0,4,0,419,116
Vandalism,40,29,8,1,13,13,0,0,36,0,18,0,42,15,5,1,53,1,7,3,0,0,2,0,4,0,16,5,7,4,27,6,28,11,16,0,6,4,37,5,6,1,3,0,23,19,137,84,58,17,2,0,98,11,6,4,99,3,0,0,109,49,39,13,33,22,24,5,34,0,228,132,30,6,14,9,13,23,1321,496
Drug/Narcotic Offenses,124,9,26,10,112,3,3,1,236,18,1045,107,227,32,10,5,150,3,41,5,0,0,40,4,59,2,434,16,52,7,721,70,275,13,116,8,6,0,483,37,187,9,37,3,65,6,1450,161,1331,55,16,4,268,23,18,5,1039,42,22,0,1190,87,694,59,105,10,116,15,110,6,1731,259,84,3,86,6,426,30,13135,1133
"Sex Offenses, Nonforcible",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,7,1,0,0,2,1,0,0,2,0,0,0,5,0,1,0,0,0,2,0,0,0,5,0,2,0,1,0,1,0,43,3
Pornography,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,19,1
Gambling,40,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,3,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,3
Prostitution,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,24,0,0,0,0,0,0,0,2,0,10,1,0,0,4,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,50,0,152,0,0,0,4,0,0,0,44,0,0,0,106,1,164,0,0,0,0,0,2,0,56,0,0,0,0,0,0,0,642,2
Bribery,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Weapon Law Violations,12,8,11,3,18,1,0,0,28,2,72,16,14,2,4,0,62,2,4,1,0,0,2,1,16,2,19,0,9,2,94,32,37,2,15,0,0,0,38,6,22,2,3,1,21,4,152,57,94,9,1,3,54,10,2,1,90,7,0,0,136,31,59,10,17,5,19,2,39,0,174,83,28,9,13,2,22,2,1401,318
TOTAL GROUP A,1090,257,220,45,577,38,33,13,888,69,3776,336,963,306,122,27,1286,30,206,64,0,0,140,22,260,12,1084,65,220,43,2756,467,863,54,502,20,43,6,2035,189,566,18,100,12,492,99,4797,1134,4121,414,159,29,1725,211,92,31,3139,194,61,0,4720,790,2539,425,524,72,820,130,1083,33,6464,1886,690,78,273,35,1073,298,50502,7952
Bad Checks,23,0,106,0,13,0,5,0,349,0,79,0,49,0,0,0,218,1,54,0,0,0,1,0,7,0,40,0,90,0,19,0,264,0,20,0,0,0,203,0,20,0,1,0,15,0,2,0,55,0,0,0,27,0,0,0,22,0,0,0,54,0,18,0,26,0,54,0,23,0,178,0,20,0,0,0,172,0,2227,1
Curfew/Loitering/Vagrancy,40,0,0,3,0,0,0,0,0,10,2,90,0,75,0,0,2,62,0,29,0,0,0,0,0,2,0,0,0,5,8,283,0,0,0,47,0,1,0,0,0,0,0,5,0,0,5,210,0,0,0,0,3,14,0,2,0,16,0,0,0,31,0,4,0,0,0,0,1,62,42,789,0,1,0,0,0,0,103,1741
Disorderly Conduct,122,0,8,1,15,1,5,1,58,2,81,27,27,17,5,0,80,16,18,4,0,0,32,0,11,1,66,1,29,1,8,22,20,1,19,1,4,0,73,23,55,2,12,1,70,15,40,38,1166,117,7,6,212,28,1,0,70,10,0,0,120,110,38,86,16,8,52,18,33,5,807,197,17,9,2,1,36,6,3435,776
