Officers Assaulted Activity,Number of Offenses,Percent Distribution
"1. Responding to ""Disturbance"" calls (family quarrels, man with gun, etc.)",363,25.1
2. Burglaries in progress or pursuing burglary suspects,14,1
3. Robberies in progress or pursuing robbery suspects,8,0.6
4. Attempting other arrests,404,27.9
"5. Civil disorder (riot, mass disobedience)",22,1.5
"6. Handling, transporting, custody of prisoners",174,12
7. Investigating suspicious persons or circumstances,92,6.3
8. Ambush - no warning,3,0.2
9. Mentally deranged,16,1.1
10. Traffic pursuits and stops,150,10.4
11. All Other,203,14
12. Total,1449,100.1
